# dim  N   mc   rho  Brute 
# 1    1 500000 1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.374001e-01 1.082186e-07 4.727570e-01 8.735320e-01
5.326850e-01 1.037504e-07 4.748400e-01 8.742680e-01
5.326538e-01 1.000035e-07 4.841470e-01 8.739400e-01
5.339082e-01 1.025698e-07 4.872370e-01 8.737380e-01
5.310809e-01 9.602744e-08 4.913180e-01 8.742960e-01
5.311286e-01 9.441711e-08 5.020340e-01 8.737580e-01
5.319339e-01 9.258364e-08 4.849720e-01 8.727460e-01
5.267703e-01 8.498760e-08 4.706710e-01 8.744920e-01
5.292484e-01 8.625541e-08 5.424740e-01 8.730220e-01
5.293102e-01 8.721202e-08 5.409350e-01 8.738240e-01
5.279278e-01 8.329969e-08 5.500050e-01 8.734540e-01
5.271368e-01 8.165265e-08 5.483300e-01 8.731100e-01
5.265225e-01 8.004746e-08 5.367690e-01 8.730000e-01
5.271055e-01 7.891541e-08 5.328350e-01 8.728560e-01
5.259264e-01 7.800628e-08 5.073190e-01 8.723620e-01
5.234927e-01 7.199595e-08 5.249190e-01 8.730720e-01
5.236681e-01 7.398427e-08 5.135080e-01 8.727960e-01
5.231767e-01 7.088833e-08 5.462770e-01 8.737560e-01
5.237146e-01 7.057128e-08 5.399950e-01 8.719380e-01
5.252307e-01 7.197833e-08 5.297200e-01 8.716900e-01
5.217582e-01 6.772152e-08 5.259940e-01 8.733200e-01
5.210109e-01 6.532922e-08 5.366330e-01 8.731080e-01
5.214667e-01 6.553135e-08 5.354750e-01 8.738660e-01
5.212766e-01 6.568398e-08 5.576150e-01 8.727880e-01
5.202205e-01 6.177102e-08 5.560970e-01 8.719160e-01
5.180705e-01 5.995733e-08 5.247510e-01 8.734940e-01
5.212261e-01 6.239439e-08 5.097010e-01 8.718300e-01
5.178647e-01 5.704878e-08 5.048620e-01 8.731560e-01
5.195000e-01 5.978386e-08 5.365540e-01 8.731740e-01
5.179598e-01 5.564474e-08 5.229610e-01 8.733540e-01
5.156058e-01 5.337062e-08 5.209660e-01 8.727240e-01
5.164562e-01 5.414153e-08 5.399050e-01 8.721080e-01
5.154717e-01 5.235555e-08 5.125550e-01 8.725040e-01
5.160768e-01 5.216504e-08 5.285810e-01 8.713340e-01
5.159422e-01 5.234127e-08 5.362850e-01 8.725400e-01
5.151615e-01 5.085805e-08 5.724330e-01 8.726620e-01
5.155201e-01 5.131028e-08 5.084000e-01 8.721320e-01
5.159090e-01 4.985190e-08 5.276540e-01 8.715600e-01
5.144381e-01 4.742064e-08 5.010030e-01 8.732880e-01
5.151404e-01 4.873246e-08 4.970200e-01 8.714060e-01
5.132425e-01 4.540484e-08 5.235380e-01 8.730000e-01
5.142925e-01 4.641039e-08 5.366410e-01 8.722220e-01
5.132399e-01 4.524282e-08 4.890860e-01 8.719280e-01
5.136140e-01 4.471243e-08 5.114090e-01 8.707820e-01
5.130758e-01 4.374167e-08 4.984550e-01 8.720740e-01
5.100687e-01 4.065628e-08 4.904970e-01 8.727660e-01
5.127856e-01 4.326278e-08 5.087940e-01 8.716320e-01
5.146407e-01 4.505258e-08 4.822400e-01 8.721300e-01
5.130319e-01 4.391017e-08 4.965240e-01 8.720100e-01
5.112359e-01 4.082880e-08 4.615120e-01 8.726080e-01
5.114794e-01 4.027177e-08 4.753920e-01 8.725220e-01
5.123280e-01 4.101034e-08 4.570720e-01 8.715300e-01
5.103596e-01 3.837715e-08 4.685840e-01 8.719540e-01
