# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.341030e+00 5.189875e-05 3.715233e+00 8.672597e-01
3.231684e+00 4.663593e-05 3.611283e+00 8.664994e-01
3.210654e+00 4.465661e-05 3.591691e+00 8.670920e-01
3.201170e+00 4.384357e-05 3.590151e+00 8.666357e-01
3.202147e+00 4.864324e-05 3.580221e+00 8.671063e-01
3.204572e+00 4.928375e-05 3.584222e+00 8.667948e-01
3.186143e+00 4.388552e-05 3.584155e+00 8.661679e-01
3.199321e+00 4.578059e-05 3.618097e+00 8.665575e-01
3.199554e+00 4.662839e-05 3.602667e+00 8.669177e-01
3.188939e+00 4.534202e-05 3.617990e+00 8.677723e-01
3.192932e+00 4.788320e-05 3.621220e+00 8.668110e-01
3.189314e+00 4.706003e-05 3.603854e+00 8.675437e-01
3.185823e+00 4.407921e-05 3.589395e+00 8.671092e-01
3.194236e+00 4.458490e-05 3.561109e+00 8.680448e-01
3.189847e+00 4.482641e-05 3.623062e+00 8.673350e-01
3.193165e+00 7.799059e-05 3.568025e+00 8.679038e-01
3.188510e+00 4.833805e-05 3.622238e+00 8.671597e-01
3.184667e+00 4.456430e-05 3.604637e+00 8.675122e-01
3.186885e+00 4.687537e-05 3.587901e+00 8.678762e-01
3.191927e+00 4.591353e-05 3.589881e+00 8.678504e-01
3.183412e+00 4.500661e-05 3.597314e+00 8.675922e-01
3.185459e+00 6.116359e-05 3.605975e+00 8.680686e-01
3.179255e+00 4.474091e-05 3.602174e+00 8.679867e-01
3.185766e+00 4.690001e-05 3.632162e+00 8.680610e-01
3.167230e+00 5.069448e-05 3.615752e+00 8.683287e-01
3.172718e+00 4.511428e-05 3.619064e+00 8.682468e-01
3.164928e+00 4.440583e-05 3.564416e+00 8.687670e-01
3.174144e+00 6.201881e-05 3.593930e+00 8.681086e-01
3.158701e+00 4.423843e-05 3.573046e+00 8.685298e-01
3.170260e+00 4.364151e-05 3.580528e+00 8.688623e-01
3.163113e+00 4.471229e-05 3.600968e+00 8.694387e-01
3.166256e+00 4.596860e-05 3.582216e+00 8.685831e-01
3.158854e+00 4.321705e-05 3.581888e+00 8.690252e-01
3.156827e+00 4.835905e-05 3.562498e+00 8.686641e-01
3.153207e+00 4.458665e-05 3.629835e+00 8.691405e-01
3.164961e+00 4.403607e-05 3.557343e+00 8.688613e-01
3.144332e+00 4.272131e-05 3.594412e+00 8.693139e-01
3.149572e+00 4.225152e-05 3.613837e+00 8.692634e-01
3.146825e+00 4.398351e-05 3.574292e+00 8.689299e-01
3.157777e+00 4.348813e-05 3.604457e+00 8.693339e-01
3.151597e+00 4.367605e-05 3.578293e+00 8.699980e-01
3.149183e+00 4.268961e-05 3.586684e+00 8.702285e-01
3.144638e+00 4.277369e-05 3.607113e+00 8.690938e-01
3.156999e+00 4.455564e-05 3.619167e+00 8.700542e-01
3.146504e+00 4.199382e-05 3.568737e+00 8.710432e-01
3.144527e+00 5.071930e-05 3.582207e+00 8.701790e-01
3.143658e+00 5.064214e-05 3.600042e+00 8.703219e-01
3.152798e+00 4.355932e-05 3.587540e+00 8.710365e-01
3.136653e+00 4.296620e-05 3.572783e+00 8.702619e-01
3.140862e+00 4.228803e-05 3.743816e+00 8.705315e-01
3.127171e+00 4.081790e-05 3.588995e+00 8.710355e-01
3.136236e+00 4.188978e-05 3.582743e+00 8.709917e-01
3.115071e+00 4.093622e-05 3.657604e+00 8.711956e-01
3.135059e+00 4.195033e-05 3.608122e+00 8.715224e-01
3.132639e+00 4.762681e-05 3.655164e+00 8.710517e-01
3.126294e+00 4.159754e-05 3.579584e+00 8.714147e-01
3.136188e+00 4.367389e-05 3.598868e+00 8.716110e-01
3.132378e+00 4.194599e-05 3.606232e+00 8.718540e-01
3.115060e+00 4.092990e-05 3.591726e+00 8.721932e-01
3.121796e+00 4.189750e-05 3.617003e+00 8.722532e-01
3.130091e+00 4.463212e-05 3.617946e+00 8.721846e-01
3.117744e+00 4.294050e-05 3.628528e+00 8.712366e-01
3.119902e+00 4.118860e-05 3.593588e+00 8.722770e-01
3.112576e+00 4.272300e-05 3.608581e+00 8.726733e-01
3.110243e+00 4.222608e-05 3.630120e+00 8.728220e-01
3.116305e+00 4.070174e-05 3.575293e+00 8.723142e-01
3.117194e+00 4.200335e-05 3.592301e+00 8.727343e-01
3.117280e+00 4.181053e-05 3.614205e+00 8.727991e-01
3.117667e+00 4.208467e-05 3.603827e+00 8.724313e-01
3.125939e+00 5.224861e-05 3.605125e+00 8.731878e-01
3.113590e+00 4.254465e-05 3.586135e+00 8.729925e-01
3.120358e+00 4.432779e-05 3.608957e+00 8.730659e-01
3.107513e+00 4.042680e-05 3.590800e+00 8.730783e-01
3.122274e+00 4.392608e-05 3.634187e+00 8.732993e-01
3.106241e+00 4.095708e-05 3.629034e+00 8.732050e-01
3.111951e+00 4.128257e-05 3.584013e+00 8.733860e-01
3.103892e+00 4.089542e-05 3.597585e+00 8.740101e-01
3.107503e+00 4.381184e-05 3.594081e+00 8.739415e-01
3.104607e+00 4.056518e-05 3.610651e+00 8.739119e-01
3.104615e+00 4.077790e-05 3.659953e+00 8.745579e-01
3.100797e+00 3.995817e-05 3.648284e+00 8.746399e-01
3.109832e+00 4.242769e-05 3.654111e+00 8.732307e-01
3.101003e+00 4.032375e-05 3.662033e+00 8.743178e-01
3.100958e+00 3.993674e-05 3.671753e+00 8.740034e-01
3.107975e+00 4.051035e-05 3.614056e+00 8.745493e-01
3.099709e+00 4.065655e-05 3.634709e+00 8.746742e-01
3.101039e+00 4.055121e-05 3.636417e+00 8.740549e-01
3.104205e+00 4.182935e-05 3.716377e+00 8.742283e-01
3.112971e+00 4.409891e-05 3.634268e+00 8.757089e-01
3.115803e+00 4.944464e-05 3.616841e+00 8.747475e-01
3.108770e+00 4.069626e-05 3.610692e+00 8.747780e-01
3.105800e+00 4.014549e-05 3.607826e+00 8.746742e-01
3.103910e+00 4.037842e-05 3.600386e+00 8.751963e-01
3.098365e+00 4.035688e-05 3.637332e+00 8.745741e-01
3.096455e+00 3.982054e-05 3.666295e+00 8.741863e-01
3.101369e+00 4.085712e-05 3.688710e+00 8.751210e-01
3.094714e+00 4.135842e-05 3.645681e+00 8.749962e-01
3.107320e+00 4.003251e-05 3.617447e+00 8.750781e-01
3.102502e+00 4.988853e-05 3.620489e+00 8.744236e-01
3.106729e+00 4.285083e-05 3.588467e+00 8.757965e-01
3.096521e+00 4.006372e-05 3.627429e+00 8.750181e-01
3.098629e+00 4.072606e-05 3.624180e+00 8.754449e-01
3.096019e+00 3.943763e-05 3.589157e+00 8.755478e-01
3.099367e+00 4.191800e-05 3.574210e+00 8.752172e-01
3.103114e+00 4.084363e-05 3.602438e+00 8.755002e-01
3.101144e+00 4.133124e-05 3.615100e+00 8.764816e-01
3.089303e+00 4.071103e-05 3.638980e+00 8.751629e-01
3.099902e+00 3.968365e-05 3.625757e+00 8.756460e-01
3.094159e+00 4.118402e-05 3.661924e+00 8.752191e-01
3.090468e+00 3.989452e-05 3.631780e+00 8.754850e-01
3.104770e+00 4.551717e-05 3.624965e+00 8.761719e-01
3.094085e+00 4.822703e-05 3.600269e+00 8.755717e-01
3.099948e+00 5.257267e-05 3.588662e+00 8.759299e-01
3.103598e+00 4.510599e-05 3.597317e+00 8.756021e-01
3.093795e+00 4.002184e-05 3.607527e+00 8.761157e-01
3.097155e+00 4.025556e-05 3.653329e+00 8.759861e-01
3.094585e+00 4.101946e-05 3.589067e+00 8.757765e-01
3.089420e+00 4.122013e-05 3.607175e+00 8.761929e-01
3.097234e+00 3.987431e-05 3.588501e+00 8.757841e-01
3.096318e+00 4.012841e-05 3.597624e+00 8.759909e-01
3.102273e+00 4.048977e-05 3.627201e+00 8.761338e-01
3.098235e+00 3.986350e-05 3.575288e+00 8.762091e-01
3.091789e+00 4.019855e-05 3.611862e+00 8.762805e-01
3.095870e+00 4.604020e-05 3.634915e+00 8.767140e-01
3.098013e+00 3.961207e-05 3.646433e+00 8.761338e-01
3.095851e+00 3.935515e-05 3.635751e+00 8.766340e-01
3.101897e+00 4.148404e-05 3.615413e+00 8.767855e-01
3.089898e+00 4.007173e-05 3.612200e+00 8.764892e-01
3.092150e+00 4.946586e-05 3.628569e+00 8.763358e-01
3.102085e+00 4.450435e-05 3.607763e+00 8.757975e-01
3.094984e+00 4.303062e-05 3.628216e+00 8.758327e-01
3.096094e+00 4.077778e-05 3.600613e+00 8.766816e-01
3.096142e+00 4.189524e-05 3.619532e+00 8.766388e-01
3.096597e+00 4.828114e-05 3.587073e+00 8.766121e-01
3.100842e+00 3.934926e-05 3.619429e+00 8.757927e-01
3.095317e+00 4.284883e-05 3.669433e+00 8.757041e-01
3.096196e+00 4.161466e-05 3.706399e+00 8.765473e-01
3.096320e+00 4.088181e-05 3.691562e+00 8.770875e-01
3.095774e+00 4.006548e-05 3.661538e+00 8.766092e-01
3.105631e+00 4.074722e-05 3.688497e+00 8.762357e-01
3.092318e+00 3.999612e-05 3.638897e+00 8.763320e-01
3.098107e+00 4.101175e-05 3.609485e+00 8.763739e-01
3.101631e+00 4.075022e-05 3.673403e+00 8.765120e-01
3.095411e+00 3.951708e-05 3.620536e+00 8.765216e-01
3.093150e+00 3.934938e-05 3.699705e+00 8.762481e-01
3.096170e+00 4.008905e-05 3.630012e+00 8.762291e-01
3.099907e+00 4.053640e-05 3.655836e+00 8.761814e-01
3.093825e+00 3.996986e-05 3.598393e+00 8.756784e-01
3.094910e+00 4.313895e-05 3.596498e+00 8.762977e-01
3.095941e+00 3.955761e-05 3.618482e+00 8.761243e-01
3.104493e+00 4.106175e-05 3.633506e+00 8.765683e-01
3.101210e+00 3.940007e-05 3.630260e+00 8.763463e-01
3.095460e+00 4.108148e-05 3.591194e+00 8.759985e-01
3.097992e+00 3.986546e-05 3.584684e+00 8.762424e-01
3.097364e+00 4.681730e-05 3.598293e+00 8.772085e-01
3.106456e+00 4.684669e-05 3.572676e+00 8.761795e-01
3.095301e+00 3.961526e-05 3.581863e+00 8.763310e-01
3.097869e+00 4.071565e-05 3.595722e+00 8.759528e-01
3.096257e+00 4.450278e-05 3.617754e+00 8.763005e-01
3.088863e+00 3.886734e-05 3.555735e+00 8.757660e-01
