# dim  N   mc   rho  Brute 
# 1    1 1049576 0.4
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
7.566679e-01 2.602780e-07 6.785850e-01 9.451617e-01
7.513217e-01 2.601058e-07 6.095460e-01 9.448987e-01
7.492344e-01 2.489576e-07 6.688580e-01 9.449139e-01
7.413488e-01 2.481741e-07 5.996570e-01 9.449568e-01
7.342715e-01 2.439329e-07 5.875390e-01 9.445119e-01
7.451450e-01 2.445103e-07 6.158910e-01 9.449482e-01
7.113740e-01 2.297798e-07 6.290270e-01 9.454532e-01
7.370551e-01 2.284390e-07 5.605790e-01 9.455933e-01
7.311579e-01 2.258849e-07 5.436800e-01 9.454885e-01
7.165362e-01 2.219050e-07 5.845250e-01 9.451359e-01
7.172019e-01 2.241339e-07 6.202740e-01 9.441984e-01
7.135341e-01 2.203002e-07 5.594340e-01 9.448425e-01
7.130464e-01 2.182405e-07 6.261750e-01 9.442156e-01
7.086547e-01 2.127739e-07 5.671170e-01 9.447043e-01
7.085824e-01 2.032703e-07 6.174420e-01 9.452550e-01
6.936537e-01 2.011214e-07 5.619850e-01 9.446710e-01
6.989373e-01 2.034270e-07 5.145390e-01 9.444309e-01
7.014989e-01 2.014988e-07 5.735190e-01 9.445243e-01
6.964229e-01 1.977706e-07 5.317640e-01 9.440831e-01
6.857165e-01 1.892205e-07 5.089530e-01 9.453570e-01
6.774147e-01 1.875398e-07 5.071790e-01 9.451207e-01
6.753021e-01 1.823763e-07 5.128240e-01 9.451550e-01
6.848657e-01 1.833485e-07 5.065220e-01 9.448482e-01
6.877812e-01 1.828640e-07 5.082980e-01 9.446977e-01
6.763491e-01 1.746728e-07 5.062040e-01 9.455113e-01
6.765706e-01 1.741411e-07 5.054980e-01 9.449282e-01
6.713226e-01 1.705598e-07 5.107410e-01 9.454837e-01
6.682098e-01 1.705326e-07 5.064220e-01 9.451474e-01
6.584387e-01 1.688538e-07 5.087180e-01 9.447024e-01
6.706756e-01 1.669611e-07 5.071320e-01 9.444385e-01
6.606021e-01 1.631592e-07 5.041400e-01 9.444052e-01
6.528686e-01 1.615029e-07 5.092560e-01 9.444223e-01
