# dim  N   mc   rho  Brute 
# 1    1 1049576 1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.413975e-01 4.166986e-08 5.803040e-01 8.602836e-01
5.233457e-01 2.227056e-08 6.066980e-01 8.616718e-01
5.131574e-01 1.242446e-08 5.228710e-01 8.616194e-01
5.071626e-01 6.948199e-09 5.184960e-01 8.618852e-01
5.041089e-01 4.118128e-09 5.289220e-01 8.629589e-01
5.017481e-01 2.577129e-09 5.074160e-01 8.626569e-01
5.014206e-01 1.885969e-09 5.046050e-01 8.635163e-01
5.009738e-01 1.583434e-09 5.210980e-01 8.637631e-01
5.009706e-01 1.449714e-09 5.392660e-01 8.636621e-01
5.007226e-01 1.377020e-09 5.192500e-01 8.636983e-01
5.008870e-01 1.369995e-09 5.427300e-01 8.640146e-01
5.006260e-01 1.338878e-09 5.497930e-01 8.638450e-01
5.008702e-01 1.353132e-09 6.001370e-01 8.634515e-01
5.006740e-01 1.347259e-09 5.388930e-01 8.642966e-01
5.006615e-01 1.339380e-09 5.467750e-01 8.636154e-01
5.006415e-01 1.338658e-09 5.523300e-01 8.645691e-01
5.007650e-01 1.354437e-09 5.150700e-01 8.641442e-01
5.006825e-01 1.340885e-09 5.609100e-01 8.640680e-01
5.006159e-01 1.322845e-09 5.481380e-01 8.641232e-01
5.007024e-01 1.339138e-09 5.558580e-01 8.644900e-01
5.006311e-01 1.336908e-09 6.013490e-01 8.640403e-01
5.007296e-01 1.313936e-09 5.685910e-01 8.642414e-01
5.008710e-01 1.362306e-09 5.385680e-01 8.635220e-01
5.006619e-01 1.319522e-09 5.421800e-01 8.643576e-01
5.006245e-01 1.327925e-09 5.237710e-01 8.644843e-01
5.006438e-01 1.327247e-09 5.336620e-01 8.636992e-01
5.008803e-01 1.350741e-09 5.153770e-01 8.640175e-01
5.006150e-01 1.322623e-09 5.225720e-01 8.639965e-01
5.004270e-01 1.295279e-09 5.302500e-01 8.646101e-01
5.008953e-01 1.357904e-09 5.276260e-01 8.642614e-01
5.008852e-01 1.342792e-09 5.233190e-01 8.636526e-01
5.008115e-01 1.318635e-09 5.710630e-01 8.637774e-01
5.006619e-01 1.322369e-09 5.319580e-01 8.642709e-01
5.008525e-01 1.320589e-09 5.236420e-01 8.633782e-01
5.006646e-01 1.302028e-09 5.582680e-01 8.639937e-01
5.009569e-01 1.340426e-09 5.468390e-01 8.640251e-01
5.007367e-01 1.304107e-09 5.580000e-01 8.638079e-01
5.006273e-01 1.283105e-09 5.215780e-01 8.642042e-01
5.008747e-01 1.320184e-09 5.618560e-01 8.634134e-01
5.006163e-01 1.288244e-09 5.422740e-01 8.636792e-01
5.007433e-01 1.275163e-09 5.356720e-01 8.636878e-01
5.007425e-01 1.302015e-09 5.720390e-01 8.633267e-01
5.005359e-01 1.305743e-09 5.244370e-01 8.641642e-01
5.007903e-01 1.309443e-09 5.620380e-01 8.642766e-01
5.009286e-01 1.324034e-09 5.740870e-01 8.629504e-01
5.004404e-01 1.259834e-09 5.271700e-01 8.645758e-01
5.008157e-01 1.295076e-09 5.363180e-01 8.637564e-01
