# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.298441e+00 1.570679e-03 8.764430e-01 8.607466e-01
3.262160e+00 4.651897e-05 8.792850e-01 8.613564e-01
3.251244e+00 4.938397e-05 8.506250e-01 8.623149e-01
3.231782e+00 5.396170e-05 8.591560e-01 8.610172e-01
3.221482e+00 4.609661e-05 8.592290e-01 8.621348e-01
3.221389e+00 4.867929e-05 8.785360e-01 8.619271e-01
3.213201e+00 4.442299e-05 8.975890e-01 8.627027e-01
3.215992e+00 4.409277e-05 8.704950e-01 8.621215e-01
3.223601e+00 5.632660e-05 8.607800e-01 8.626341e-01
3.197935e+00 4.320539e-05 8.571450e-01 8.627551e-01
3.216120e+00 4.860064e-05 8.574300e-01 8.631933e-01
3.193655e+00 4.302987e-05 8.840120e-01 8.632314e-01
3.191611e+00 4.491236e-05 8.844970e-01 8.639489e-01
3.193900e+00 4.388735e-05 8.565060e-01 8.649255e-01
3.174360e+00 4.437882e-05 8.643920e-01 8.649112e-01
3.170313e+00 5.675546e-05 8.695100e-01 8.659630e-01
3.166374e+00 5.536397e-05 8.569590e-01 8.664165e-01
3.147879e+00 4.262403e-05 8.854060e-01 8.678533e-01
3.146878e+00 4.197364e-05 8.827210e-01 8.675961e-01
3.131030e+00 4.035442e-05 8.838720e-01 8.683716e-01
3.129440e+00 4.155590e-05 8.672050e-01 8.695035e-01
3.128997e+00 4.169782e-05 8.572110e-01 8.694835e-01
3.112305e+00 4.208282e-05 8.625700e-01 8.707678e-01
3.115031e+00 4.326387e-05 8.738730e-01 8.712633e-01
3.110989e+00 4.142582e-05 8.652690e-01 8.706802e-01
3.111924e+00 4.076044e-05 8.634080e-01 8.709060e-01
3.110675e+00 4.130006e-05 8.620830e-01 8.714119e-01
3.105867e+00 3.993496e-05 8.579120e-01 8.715167e-01
3.103164e+00 3.952301e-05 8.591500e-01 8.716272e-01
3.111141e+00 7.746485e-05 8.578430e-01 8.719159e-01
3.099728e+00 4.828247e-05 8.504900e-01 8.726095e-01
