# dim  N   mc   rho  Brute 
# 1    1 100000 0.6
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.157729e-01 2.989258e-07 4.173300e-02 9.137200e-01
5.121229e-01 3.013293e-07 3.898600e-02 9.134200e-01
5.232028e-01 3.029611e-07 3.742700e-02 9.159800e-01
5.148419e-01 2.657172e-07 2.798600e-02 9.185700e-01
5.166130e-01 2.736617e-07 3.995600e-02 9.151500e-01
5.106032e-01 2.523950e-07 3.898100e-02 9.140100e-01
5.114356e-01 2.440325e-07 3.600900e-02 9.171200e-01
5.158143e-01 2.177604e-07 4.221800e-02 9.178500e-01
5.100932e-01 2.414949e-07 3.938700e-02 9.150200e-01
5.106597e-01 2.231812e-07 3.596100e-02 9.153200e-01
5.047421e-01 2.195594e-07 2.544000e-02 9.169300e-01
5.059450e-01 1.998911e-07 2.899500e-02 9.165500e-01
5.074261e-01 2.109652e-07 3.501700e-02 9.161600e-01
5.089290e-01 1.979892e-07 3.266000e-02 9.147800e-01
5.140096e-01 2.090628e-07 3.370400e-02 9.159100e-01
5.086499e-01 1.969541e-07 4.045400e-02 9.163700e-01
5.114538e-01 1.759271e-07 4.187300e-02 9.173900e-01
5.049661e-01 1.776990e-07 2.659300e-02 9.165700e-01
5.170694e-01 1.782341e-07 3.955700e-02 9.163800e-01
5.087795e-01 1.734156e-07 3.191200e-02 9.160500e-01
5.052260e-01 1.742956e-07 2.991000e-02 9.143000e-01
5.046566e-01 1.782825e-07 3.442900e-02 9.140100e-01
5.102855e-01 1.633754e-07 3.158000e-02 9.148300e-01
5.071362e-01 1.581483e-07 3.188500e-02 9.152000e-01
5.080642e-01 1.615438e-07 2.307500e-02 9.144300e-01
5.116953e-01 1.608270e-07 3.500600e-02 9.154100e-01
5.056914e-01 1.578263e-07 3.994400e-02 9.153300e-01
5.132100e-01 1.476850e-07 3.933300e-02 9.161400e-01
5.090233e-01 1.413538e-07 3.612300e-02 9.160000e-01
5.072511e-01 1.275922e-07 3.393200e-02 9.174400e-01
5.059035e-01 1.232269e-07 2.689400e-02 9.159600e-01
5.054497e-01 1.294564e-07 3.830700e-02 9.159500e-01
5.115166e-01 1.281350e-07 3.667700e-02 9.148000e-01
5.062458e-01 1.254494e-07 2.787600e-02 9.162100e-01
5.050459e-01 1.144563e-07 2.927300e-02 9.169400e-01
5.073935e-01 1.172302e-07 4.058900e-02 9.146100e-01
5.050294e-01 1.132757e-07 4.231900e-02 9.165300e-01
5.057199e-01 1.105455e-07 3.818300e-02 9.164300e-01
5.054694e-01 1.104113e-07 3.834800e-02 9.170000e-01
5.048840e-01 1.047563e-07 3.325900e-02 9.152200e-01
5.061553e-01 1.016301e-07 3.136600e-02 9.154500e-01
5.060590e-01 9.522149e-08 2.617300e-02 9.186300e-01
5.060252e-01 1.004316e-07 3.632500e-02 9.178200e-01
5.043013e-01 9.414169e-08 4.237000e-02 9.150700e-01
5.077827e-01 8.855838e-08 3.051100e-02 9.166900e-01
5.061578e-01 9.026260e-08 3.025600e-02 9.174300e-01
5.058870e-01 8.877195e-08 3.266000e-02 9.160300e-01
5.031617e-01 8.040060e-08 3.780400e-02 9.150500e-01
5.046951e-01 8.250973e-08 3.471100e-02 9.170500e-01
5.046853e-01 8.304571e-08 3.626200e-02 9.151500e-01
5.012534e-01 8.455871e-08 3.220100e-02 9.148900e-01
5.060197e-01 7.406244e-08 3.032100e-02 9.161200e-01
5.075216e-01 7.376132e-08 2.689700e-02 9.158800e-01
5.060009e-01 7.002294e-08 4.013600e-02 9.162100e-01
5.053470e-01 6.600342e-08 2.409800e-02 9.177800e-01
5.043368e-01 6.664699e-08 3.173600e-02 9.149000e-01
5.028624e-01 6.937435e-08 3.518400e-02 9.167600e-01
5.017602e-01 6.182264e-08 3.513400e-02 9.187400e-01
5.025456e-01 6.701083e-08 3.020300e-02 9.154700e-01
5.027422e-01 6.300767e-08 3.701500e-02 9.177000e-01
4.991056e-01 5.986848e-08 2.914500e-02 9.135200e-01
5.011358e-01 5.825867e-08 3.298200e-02 9.158700e-01
5.013016e-01 5.487491e-08 4.122300e-02 9.165400e-01
5.000692e-01 5.744433e-08 3.469800e-02 9.156000e-01
5.030524e-01 5.200467e-08 3.750300e-02 9.194100e-01
5.017097e-01 5.200573e-08 4.184300e-02 9.183400e-01
5.015603e-01 4.678666e-08 2.540100e-02 9.162800e-01
5.046718e-01 5.259435e-08 3.618800e-02 9.142000e-01
5.001108e-01 5.012193e-08 2.852700e-02 9.151700e-01
5.037354e-01 4.662676e-08 3.195700e-02 9.177900e-01
5.037988e-01 4.397597e-08 3.725600e-02 9.171300e-01
5.050807e-01 4.721687e-08 3.358000e-02 9.147900e-01
5.026965e-01 4.451866e-08 3.409400e-02 9.155300e-01
5.019364e-01 4.428899e-08 3.468500e-02 9.143600e-01
5.027118e-01 4.542426e-08 3.432400e-02 9.132800e-01
5.039074e-01 4.212098e-08 2.577300e-02 9.160700e-01
5.015224e-01 4.158951e-08 3.712100e-02 9.127000e-01
5.037276e-01 3.849202e-08 2.525800e-02 9.160200e-01
5.029284e-01 3.748251e-08 2.856100e-02 9.160300e-01
5.029241e-01 3.725797e-08 4.186900e-02 9.150300e-01
5.007461e-01 3.864602e-08 2.839500e-02 9.131500e-01
5.002946e-01 3.403625e-08 3.447000e-02 9.175600e-01
5.029334e-01 3.331841e-08 4.098700e-02 9.157300e-01
5.018890e-01 3.411509e-08 3.946500e-02 9.158700e-01
5.007267e-01 3.257739e-08 3.848200e-02 9.161500e-01
5.009093e-01 3.364625e-08 3.991000e-02 9.137200e-01
5.018389e-01 3.085584e-08 3.482200e-02 9.170300e-01
4.994196e-01 2.715695e-08 4.144200e-02 9.159500e-01
5.010882e-01 2.963136e-08 2.830700e-02 9.159000e-01
5.001965e-01 2.807871e-08 2.457200e-02 9.169500e-01
5.011358e-01 2.982137e-08 3.515300e-02 9.178500e-01
5.029568e-01 2.788039e-08 3.376700e-02 9.170200e-01
5.004315e-01 2.488765e-08 2.591900e-02 9.161200e-01
5.024524e-01 2.663640e-08 3.652600e-02 9.163200e-01
5.005074e-01 2.424293e-08 2.826600e-02 9.174500e-01
5.003592e-01 2.441918e-08 3.437900e-02 9.173700e-01
5.008029e-01 2.222084e-08 4.039500e-02 9.176500e-01
4.993911e-01 2.371326e-08 3.976300e-02 9.153800e-01
5.036191e-01 2.420883e-08 3.843300e-02 9.165900e-01
5.038901e-01 2.170122e-08 2.580900e-02 9.164500e-01
4.998885e-01 2.232463e-08 4.237700e-02 9.161000e-01
5.019516e-01 1.967176e-08 2.510700e-02 9.167100e-01
5.025563e-01 2.243364e-08 3.493400e-02 9.137300e-01
4.998958e-01 1.971255e-08 3.549700e-02 9.163000e-01
5.009716e-01 1.970771e-08 3.717700e-02 9.176100e-01
4.995212e-01 1.835665e-08 4.186800e-02 9.161300e-01
5.004132e-01 1.885346e-08 3.722900e-02 9.180200e-01
5.013988e-01 1.797904e-08 2.796200e-02 9.164000e-01
5.006414e-01 1.647294e-08 3.649600e-02 9.162700e-01
5.005336e-01 1.695489e-08 3.998700e-02 9.172200e-01
5.016664e-01 1.750586e-08 3.359100e-02 9.158100e-01
5.010293e-01 1.672300e-08 2.639700e-02 9.153000e-01
5.006991e-01 1.570318e-08 3.104600e-02 9.155600e-01
5.008900e-01 1.547706e-08 4.236500e-02 9.158000e-01
5.010187e-01 1.545914e-08 3.482100e-02 9.141600e-01
4.994419e-01 1.512091e-08 3.162400e-02 9.138600e-01
5.019564e-01 1.500388e-08 2.975300e-02 9.155200e-01
5.008777e-01 1.488762e-08 4.088300e-02 9.153900e-01
5.009162e-01 1.265122e-08 2.841400e-02 9.162600e-01
5.005682e-01 1.319469e-08 3.626900e-02 9.149400e-01
5.018309e-01 1.366308e-08 2.289300e-02 9.166800e-01
4.991960e-01 1.248885e-08 4.033100e-02 9.167400e-01
5.004483e-01 1.224796e-08 3.388300e-02 9.161500e-01
5.002711e-01 1.250841e-08 3.142400e-02 9.150600e-01
4.998160e-01 1.146674e-08 2.389400e-02 9.145200e-01
5.004764e-01 1.159210e-08 4.059300e-02 9.173200e-01
5.015608e-01 1.161826e-08 3.546300e-02 9.164300e-01
5.010806e-01 1.088999e-08 2.983800e-02 9.176200e-01
5.007189e-01 1.097312e-08 3.877000e-02 9.133400e-01
5.005902e-01 1.016065e-08 3.786900e-02 9.171800e-01
5.008921e-01 1.083978e-08 4.309700e-02 9.144500e-01
5.004204e-01 9.537227e-09 2.548500e-02 9.165300e-01
5.006614e-01 9.580479e-09 3.403300e-02 9.175900e-01
5.000059e-01 8.874365e-09 3.266000e-02 9.172600e-01
5.009194e-01 9.634948e-09 4.072900e-02 9.177300e-01
4.999724e-01 9.293831e-09 4.257800e-02 9.127800e-01
4.992981e-01 8.591890e-09 4.050900e-02 9.152400e-01
4.997010e-01 8.928457e-09 3.183300e-02 9.146500e-01
5.007296e-01 8.380982e-09 3.018200e-02 9.168200e-01
4.996181e-01 8.686220e-09 3.672000e-02 9.155800e-01
5.001612e-01 7.996479e-09 3.320400e-02 9.160600e-01
5.015051e-01 7.881801e-09 2.946300e-02 9.159500e-01
4.995680e-01 7.546657e-09 3.049600e-02 9.159500e-01
4.983351e-01 6.173857e-09 3.952300e-02 9.173000e-01
5.004219e-01 6.610854e-09 2.829400e-02 9.182200e-01
4.998504e-01 6.562049e-09 2.828600e-02 9.163300e-01
5.017644e-01 7.394044e-09 2.282600e-02 9.158700e-01
4.996960e-01 6.750354e-09 3.639400e-02 9.163800e-01
5.002179e-01 5.984871e-09 2.758100e-02 9.170900e-01
5.013188e-01 7.057383e-09 3.744700e-02 9.160500e-01
5.000900e-01 6.406308e-09 2.545300e-02 9.168500e-01
4.993945e-01 5.706525e-09 4.060900e-02 9.157100e-01
5.003839e-01 6.309960e-09 4.075300e-02 9.156500e-01
