# dim  N   mc   rho  Brute 
# 1    1 100000 1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.146801e-01 2.831391e-07 4.296600e-02 8.626000e-01
5.193559e-01 2.851337e-07 4.277300e-02 8.590100e-01
5.140909e-01 2.886162e-07 4.197600e-02 8.617000e-01
5.092315e-01 2.620784e-07 3.968300e-02 8.621400e-01
5.156021e-01 2.592108e-07 4.235600e-02 8.617300e-01
5.112855e-01 2.613553e-07 3.869900e-02 8.614300e-01
5.148342e-01 2.648475e-07 4.030700e-02 8.594900e-01
5.157495e-01 2.447092e-07 4.240700e-02 8.613900e-01
5.145990e-01 2.309731e-07 2.822300e-02 8.621300e-01
5.125316e-01 2.307430e-07 3.296300e-02 8.609500e-01
5.093343e-01 2.178731e-07 3.383200e-02 8.603700e-01
5.101383e-01 2.232352e-07 3.574600e-02 8.623600e-01
5.073306e-01 2.122749e-07 3.324100e-02 8.604000e-01
5.133247e-01 2.150691e-07 4.253800e-02 8.595300e-01
5.104049e-01 2.026650e-07 4.063600e-02 8.607300e-01
5.119219e-01 1.974078e-07 3.356800e-02 8.596700e-01
5.074915e-01 1.909226e-07 3.748500e-02 8.600400e-01
5.093204e-01 1.874128e-07 3.047600e-02 8.610000e-01
5.087655e-01 1.848640e-07 4.332700e-02 8.606900e-01
5.084867e-01 1.805237e-07 2.854900e-02 8.610800e-01
5.089249e-01 1.728206e-07 2.305000e-02 8.596700e-01
5.082532e-01 1.771451e-07 2.331000e-02 8.602400e-01
5.086184e-01 1.599106e-07 4.100300e-02 8.609700e-01
5.023097e-01 1.605834e-07 4.275200e-02 8.585300e-01
5.082761e-01 1.540639e-07 4.215400e-02 8.620200e-01
5.085100e-01 1.552154e-07 3.183000e-02 8.611800e-01
5.088646e-01 1.523571e-07 3.001800e-02 8.624000e-01
5.056070e-01 1.371627e-07 4.259800e-02 8.616400e-01
5.025141e-01 1.338133e-07 3.905700e-02 8.606600e-01
5.065357e-01 1.402268e-07 4.343200e-02 8.601100e-01
5.050662e-01 1.316358e-07 3.607500e-02 8.603300e-01
5.066320e-01 1.297861e-07 3.000900e-02 8.612500e-01
5.037353e-01 1.293333e-07 3.997400e-02 8.599600e-01
5.068633e-01 1.198506e-07 2.595000e-02 8.617800e-01
5.062066e-01 1.172440e-07 3.065100e-02 8.608600e-01
5.042870e-01 1.102119e-07 2.268700e-02 8.632200e-01
5.058734e-01 1.087226e-07 3.912300e-02 8.605900e-01
5.047760e-01 1.177683e-07 3.481300e-02 8.616900e-01
5.064781e-01 1.105924e-07 2.272500e-02 8.584700e-01
5.047561e-01 1.028834e-07 2.921800e-02 8.593900e-01
5.064786e-01 9.915358e-08 2.818100e-02 8.604100e-01
5.064419e-01 9.708713e-08 2.278900e-02 8.627700e-01
5.059241e-01 9.318499e-08 3.678100e-02 8.600200e-01
5.060815e-01 9.186232e-08 3.201900e-02 8.597600e-01
5.067912e-01 9.179666e-08 3.418600e-02 8.616600e-01
5.038296e-01 8.836683e-08 4.152500e-02 8.619000e-01
5.060462e-01 8.588655e-08 4.152700e-02 8.595300e-01
5.025132e-01 8.416431e-08 4.057300e-02 8.602400e-01
5.032689e-01 8.017189e-08 2.279400e-02 8.604500e-01
5.012965e-01 7.924444e-08 2.275500e-02 8.610500e-01
5.008776e-01 7.854758e-08 3.237000e-02 8.611100e-01
5.015507e-01 7.456877e-08 3.767900e-02 8.593800e-01
5.028026e-01 7.350232e-08 3.830800e-02 8.628600e-01
5.055806e-01 6.771632e-08 4.353200e-02 8.622200e-01
5.026270e-01 6.752389e-08 3.015000e-02 8.628600e-01
5.060083e-01 6.851865e-08 3.758400e-02 8.610200e-01
5.027497e-01 6.437364e-08 4.050800e-02 8.639700e-01
5.015214e-01 6.717998e-08 3.543300e-02 8.583000e-01
5.011917e-01 6.203576e-08 3.547100e-02 8.610500e-01
5.038944e-01 6.046018e-08 2.289200e-02 8.622100e-01
5.039147e-01 6.297987e-08 2.323100e-02 8.598500e-01
5.035119e-01 5.889724e-08 3.416700e-02 8.616500e-01
5.025124e-01 5.680576e-08 4.298100e-02 8.626400e-01
5.036806e-01 5.556282e-08 4.011200e-02 8.617000e-01
5.019929e-01 5.185919e-08 4.152600e-02 8.614300e-01
5.028491e-01 4.965173e-08 3.745800e-02 8.615400e-01
5.029700e-01 5.356176e-08 3.425000e-02 8.615200e-01
5.003434e-01 4.920781e-08 4.339900e-02 8.601200e-01
5.003850e-01 4.755985e-08 4.339900e-02 8.586200e-01
5.004014e-01 4.679877e-08 3.392400e-02 8.574600e-01
5.026497e-01 4.691246e-08 4.262500e-02 8.597400e-01
5.017626e-01 4.722510e-08 4.190600e-02 8.609700e-01
5.022951e-01 4.425695e-08 2.528500e-02 8.612900e-01
5.028297e-01 4.356121e-08 4.343300e-02 8.590300e-01
5.009343e-01 4.115256e-08 4.154000e-02 8.605300e-01
5.034344e-01 4.005316e-08 3.883200e-02 8.608200e-01
