# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.243633e+00 4.652001e-05 1.045221e+00 8.616279e-01
3.238887e+00 4.816476e-05 9.899430e-01 8.617994e-01
3.234027e+00 4.940483e-05 9.096830e-01 8.613907e-01
3.237893e+00 4.828903e-05 8.715800e-01 8.618499e-01
3.234422e+00 4.598145e-05 8.796680e-01 8.612163e-01
3.239674e+00 4.551119e-05 8.641330e-01 8.609934e-01
3.233295e+00 4.665427e-05 8.562680e-01 8.610515e-01
3.225316e+00 4.541989e-05 8.775280e-01 8.616403e-01
3.226428e+00 4.657342e-05 1.062881e+00 8.618356e-01
3.233988e+00 4.710372e-05 9.146340e-01 8.610858e-01
3.232925e+00 4.767462e-05 8.764200e-01 8.620024e-01
3.227599e+00 4.941578e-05 8.926030e-01 8.619766e-01
3.229970e+00 4.633582e-05 9.912450e-01 8.618585e-01
3.223750e+00 4.956695e-05 1.035974e+00 8.617061e-01
3.222080e+00 4.806485e-05 9.345860e-01 8.617108e-01
3.222195e+00 4.443994e-05 8.590970e-01 8.612030e-01
3.229765e+00 4.689730e-05 8.993240e-01 8.617242e-01
3.216496e+00 4.466520e-05 8.807550e-01 8.620662e-01
3.215055e+00 4.389213e-05 8.811660e-01 8.621558e-01
3.225448e+00 4.638019e-05 8.619170e-01 8.624244e-01
3.224579e+00 4.466360e-05 8.799360e-01 8.621843e-01
3.218278e+00 4.650667e-05 9.043730e-01 8.616146e-01
3.225216e+00 4.636440e-05 1.076048e+00 8.620157e-01
3.224766e+00 4.425980e-05 9.981500e-01 8.622329e-01
3.230293e+00 4.741990e-05 1.027516e+00 8.618299e-01
3.225542e+00 4.711768e-05 1.038317e+00 8.620700e-01
3.235941e+00 4.541264e-05 9.888630e-01 8.622348e-01
3.224927e+00 9.902493e-05 9.490370e-01 8.615079e-01
3.220456e+00 4.518289e-05 8.979310e-01 8.618509e-01
3.224611e+00 4.599456e-05 8.774410e-01 8.621224e-01
3.223174e+00 5.047527e-05 9.524150e-01 8.620395e-01
3.219764e+00 4.712619e-05 1.020815e+00 8.611182e-01
3.237321e+00 5.086461e-05 1.000294e+00 8.622215e-01
3.222806e+00 4.724955e-05 1.044671e+00 8.621853e-01
3.222253e+00 4.532362e-05 1.034653e+00 8.619404e-01
3.225177e+00 4.586579e-05 1.007675e+00 8.620357e-01
3.224967e+00 4.462491e-05 9.799850e-01 8.623006e-01
3.225569e+00 4.632284e-05 9.374310e-01 8.621329e-01
3.228750e+00 4.716348e-05 8.869050e-01 8.624692e-01
3.229403e+00 4.607247e-05 8.969670e-01 8.624873e-01
3.234779e+00 4.686181e-05 8.996970e-01 8.622053e-01
3.213951e+00 4.503522e-05 8.768900e-01 8.621834e-01
3.219399e+00 4.405494e-05 9.385140e-01 8.619395e-01
3.220395e+00 4.589901e-05 9.731750e-01 8.621205e-01
3.212469e+00 4.629412e-05 9.653750e-01 8.624187e-01
3.215940e+00 4.828428e-05 9.937210e-01 8.620624e-01
3.226616e+00 4.414926e-05 9.225500e-01 8.619700e-01
3.214523e+00 4.520791e-05 9.340560e-01 8.617308e-01
3.236064e+00 4.541120e-05 8.857060e-01 8.617756e-01
3.225738e+00 4.904417e-05 8.974630e-01 8.624445e-01
3.219405e+00 4.455483e-05 1.003636e+00 8.619328e-01
3.222406e+00 4.486201e-05 1.051401e+00 8.624978e-01
3.219425e+00 1.060232e-04 8.877300e-01 8.615555e-01
3.214265e+00 4.512122e-05 9.725720e-01 8.625607e-01
3.209476e+00 4.506580e-05 9.954410e-01 8.617966e-01
3.222137e+00 4.761129e-05 9.736260e-01 8.624969e-01
3.222712e+00 4.728452e-05 1.005349e+00 8.621748e-01
3.218870e+00 4.682576e-05 9.224580e-01 8.625321e-01
3.219684e+00 4.567254e-05 9.851040e-01 8.625626e-01
3.218060e+00 4.564512e-05 9.824120e-01 8.622139e-01
3.209892e+00 4.381482e-05 8.914370e-01 8.624311e-01
3.215901e+00 4.460446e-05 9.447510e-01 8.626903e-01
3.217779e+00 4.517974e-05 9.399300e-01 8.629932e-01
3.228960e+00 5.032034e-05 9.248390e-01 8.624016e-01
3.213254e+00 4.788554e-05 9.588580e-01 8.615174e-01
3.217759e+00 4.442556e-05 1.026208e+00 8.628408e-01
3.225007e+00 4.559777e-05 1.046630e+00 8.628313e-01
3.219461e+00 4.736069e-05 1.015430e+00 8.623825e-01
3.207887e+00 4.430428e-05 1.056155e+00 8.636764e-01
3.209175e+00 4.448560e-05 1.024664e+00 8.626846e-01
3.211282e+00 4.395575e-05 1.015751e+00 8.626522e-01
3.220018e+00 4.594464e-05 9.972120e-01 8.627884e-01
3.215228e+00 4.440074e-05 1.013096e+00 8.628437e-01
3.218168e+00 4.523572e-05 1.095810e+00 8.631390e-01
3.205833e+00 4.381674e-05 1.031814e+00 8.628351e-01
3.201323e+00 4.359614e-05 1.063095e+00 8.626960e-01
3.199155e+00 4.665612e-05 1.034197e+00 8.625045e-01
3.207185e+00 4.437213e-05 1.031464e+00 8.637126e-01
3.201112e+00 4.428283e-05 1.072571e+00 8.629075e-01
3.198913e+00 4.342056e-05 1.099868e+00 8.625893e-01
3.207350e+00 4.393506e-05 1.039555e+00 8.626769e-01
3.208649e+00 4.734209e-05 1.018827e+00 8.631752e-01
3.216541e+00 4.789233e-05 1.032361e+00 8.635096e-01
3.207503e+00 4.815447e-05 1.009916e+00 8.624425e-01
3.210980e+00 4.586352e-05 1.036064e+00 8.630857e-01
3.197381e+00 4.318719e-05 1.058581e+00 8.634963e-01
3.205868e+00 7.720592e-05 9.522490e-01 8.633658e-01
3.207635e+00 4.699060e-05 9.957910e-01 8.630895e-01
3.202994e+00 4.519708e-05 1.026925e+00 8.629161e-01
3.206424e+00 4.592995e-05 9.311510e-01 8.633458e-01
3.202656e+00 4.382716e-05 1.034796e+00 8.636821e-01
3.203675e+00 4.605479e-05 9.947180e-01 8.639174e-01
3.195705e+00 4.398605e-05 9.633440e-01 8.635706e-01
3.199018e+00 4.427012e-05 9.831190e-01 8.634115e-01
3.199377e+00 4.446032e-05 9.600240e-01 8.634153e-01
3.197338e+00 4.493132e-05 9.403000e-01 8.638450e-01
3.206292e+00 4.369575e-05 8.721320e-01 8.634839e-01
3.214228e+00 4.697686e-05 9.386030e-01 8.641861e-01
3.195134e+00 4.484170e-05 9.000970e-01 8.639670e-01
3.198918e+00 4.428533e-05 9.859340e-01 8.641937e-01
3.198883e+00 4.348636e-05 9.090070e-01 8.636287e-01
3.197239e+00 4.444380e-05 9.381650e-01 8.646311e-01
3.202953e+00 4.595510e-05 8.651050e-01 8.641270e-01
3.195534e+00 4.475280e-05 8.661200e-01 8.636649e-01
3.189542e+00 4.382042e-05 8.629020e-01 8.644557e-01
3.192859e+00 4.469965e-05 8.593250e-01 8.644662e-01
3.186270e+00 4.545709e-05 8.864980e-01 8.632000e-01
3.187846e+00 4.539461e-05 8.663870e-01 8.641299e-01
3.188557e+00 4.526817e-05 8.497690e-01 8.645034e-01
3.189369e+00 4.371192e-05 8.677580e-01 8.638584e-01
3.184463e+00 4.449583e-05 8.625520e-01 8.646434e-01
3.195369e+00 4.366610e-05 8.819600e-01 8.643271e-01
3.196224e+00 4.448652e-05 8.514890e-01 8.644157e-01
3.187598e+00 4.280325e-05 8.391500e-01 8.644357e-01
3.188760e+00 4.640531e-05 8.591040e-01 8.647139e-01
3.186375e+00 4.324826e-05 8.467270e-01 8.644376e-01
3.184950e+00 4.374463e-05 8.551500e-01 8.647063e-01
3.184092e+00 4.312375e-05 9.269600e-01 8.645634e-01
3.185923e+00 4.316286e-05 1.175184e+00 8.645910e-01
3.182198e+00 4.442993e-05 9.860090e-01 8.650331e-01
3.187806e+00 4.654079e-05 9.166220e-01 8.644319e-01
3.186255e+00 4.313648e-05 8.638730e-01 8.645567e-01
3.190157e+00 4.570937e-05 8.749900e-01 8.653294e-01
3.189050e+00 4.406871e-05 8.538450e-01 8.656029e-01
3.181329e+00 4.474749e-05 8.555030e-01 8.650236e-01
3.182688e+00 4.353420e-05 8.611860e-01 8.652808e-01
3.186461e+00 4.415120e-05 8.593410e-01 8.655143e-01
3.181633e+00 4.497610e-05 8.883350e-01 8.662879e-01
3.177101e+00 4.647489e-05 8.779390e-01 8.657439e-01
3.180952e+00 4.352901e-05 8.594730e-01 8.652313e-01
3.184667e+00 5.985382e-05 8.725880e-01 8.650874e-01
3.186482e+00 5.495682e-05 8.544900e-01 8.655362e-01
3.170314e+00 4.270564e-05 8.438790e-01 8.655638e-01
3.169279e+00 4.345396e-05 8.588340e-01 8.653456e-01
3.169538e+00 4.184635e-05 8.665030e-01 8.656191e-01
3.176837e+00 4.338743e-05 8.913910e-01 8.658639e-01
3.172556e+00 4.248520e-05 9.062970e-01 8.658877e-01
3.175453e+00 4.600050e-05 9.520090e-01 8.661193e-01
3.162055e+00 4.248839e-05 8.705650e-01 8.663508e-01
3.165021e+00 4.284060e-05 8.796040e-01 8.663241e-01
3.171484e+00 4.350090e-05 8.586860e-01 8.660288e-01
3.173725e+00 4.438638e-05 8.839280e-01 8.663089e-01
3.172756e+00 9.574484e-05 8.735370e-01 8.662955e-01
3.179506e+00 4.661029e-05 8.629480e-01 8.665185e-01
3.165901e+00 4.382796e-05 8.627060e-01 8.668215e-01
3.169942e+00 4.491388e-05 8.902890e-01 8.663575e-01
3.165209e+00 4.224606e-05 8.466170e-01 8.667738e-01
3.178045e+00 4.456076e-05 8.587500e-01 8.667910e-01
3.161920e+00 4.402162e-05 8.636020e-01 8.668815e-01
3.157817e+00 4.213375e-05 8.468780e-01 8.664318e-01
3.162202e+00 4.393490e-05 8.742800e-01 8.662851e-01
3.160490e+00 4.187655e-05 8.639770e-01 8.674274e-01
3.157747e+00 4.201811e-05 8.820940e-01 8.661898e-01
3.157517e+00 5.843730e-05 8.608710e-01 8.674798e-01
3.167786e+00 4.400136e-05 8.463310e-01 8.669729e-01
3.161639e+00 4.301697e-05 8.520380e-01 8.666290e-01
3.155917e+00 4.511889e-05 8.508660e-01 8.672388e-01
3.162335e+00 4.986241e-05 8.439080e-01 8.672035e-01
3.157497e+00 4.250372e-05 8.670730e-01 8.668624e-01
3.161814e+00 4.599982e-05 8.948980e-01 8.671530e-01
3.165432e+00 4.305588e-05 9.200290e-01 8.672750e-01
3.149449e+00 4.311897e-05 8.890450e-01 8.674179e-01
3.168055e+00 5.779753e-05 8.598390e-01 8.666462e-01
3.155125e+00 4.346275e-05 1.019648e+00 8.673436e-01
3.149171e+00 4.245432e-05 9.874290e-01 8.674074e-01
3.152122e+00 4.213297e-05 9.549790e-01 8.677437e-01
3.156840e+00 4.389322e-05 8.906840e-01 8.671206e-01
3.157930e+00 4.282249e-05 8.625370e-01 8.676389e-01
3.154206e+00 9.192367e-05 8.548540e-01 8.679181e-01
3.138157e+00 4.168303e-05 8.434980e-01 8.677838e-01
3.154786e+00 4.218618e-05 8.478230e-01 8.680410e-01
3.166835e+00 4.376116e-05 8.633470e-01 8.681953e-01
3.153128e+00 4.229633e-05 8.452230e-01 8.680086e-01
3.152104e+00 5.034816e-05 8.565250e-01 8.677714e-01
3.161412e+00 4.503848e-05 8.567480e-01 8.678847e-01
3.148546e+00 4.170006e-05 8.618130e-01 8.681458e-01
3.154265e+00 4.507629e-05 8.528620e-01 8.680715e-01
3.152488e+00 6.448365e-05 8.606520e-01 8.685631e-01
3.148004e+00 4.269695e-05 8.574640e-01 8.683392e-01
3.146814e+00 4.298364e-05 8.689490e-01 8.688385e-01
3.143267e+00 4.461613e-05 8.761190e-01 8.684936e-01
3.160183e+00 8.522971e-05 8.846560e-01 8.680944e-01
3.150232e+00 4.310701e-05 8.603800e-01 8.685031e-01
3.144873e+00 4.350053e-05 8.518280e-01 8.681201e-01
3.140162e+00 4.248215e-05 8.517840e-01 8.681496e-01
3.150604e+00 4.176822e-05 8.730520e-01 8.692405e-01
3.158820e+00 4.428096e-05 8.532450e-01 8.689013e-01
3.149447e+00 4.216583e-05 8.663240e-01 8.683011e-01
3.150705e+00 8.707663e-05 8.648960e-01 8.695445e-01
3.148061e+00 4.218435e-05 8.586160e-01 8.691395e-01
3.140830e+00 4.139318e-05 8.530820e-01 8.689890e-01
3.141809e+00 4.535201e-05 8.482620e-01 8.687241e-01
3.145630e+00 4.131827e-05 8.601320e-01 8.690281e-01
3.142556e+00 4.209332e-05 8.705950e-01 8.682497e-01
3.143862e+00 4.390614e-05 8.541520e-01 8.683592e-01
3.159158e+00 2.147412e-04 8.519790e-01 8.690357e-01
3.143701e+00 4.185850e-05 8.411540e-01 8.685221e-01
3.148300e+00 4.385048e-05 9.752520e-01 8.684135e-01
3.139241e+00 4.260585e-05 9.644470e-01 8.690652e-01
3.146336e+00 4.270910e-05 8.666100e-01 8.689566e-01
3.134961e+00 4.123120e-05 8.747040e-01 8.692920e-01
3.142140e+00 4.785194e-05 8.502950e-01 8.693520e-01
3.140994e+00 4.300320e-05 8.922560e-01 8.688194e-01
3.135267e+00 4.283390e-05 8.806900e-01 8.686355e-01
3.144912e+00 4.349381e-05 8.744780e-01 8.700847e-01
3.154201e+00 4.505702e-05 9.026420e-01 8.700599e-01
3.147450e+00 4.301229e-05 9.745540e-01 8.694902e-01
3.137885e+00 4.174766e-05 9.702020e-01 8.693110e-01
3.138898e+00 4.128742e-05 1.033276e+00 8.688937e-01
3.141761e+00 4.245618e-05 1.081043e+00 8.687813e-01
3.144377e+00 4.366510e-05 9.318110e-01 8.690081e-01
3.136693e+00 4.511805e-05 8.658360e-01 8.698741e-01
3.138775e+00 4.330483e-05 8.733320e-01 8.702962e-01
3.144072e+00 4.101432e-05 9.195240e-01 8.698293e-01
3.137001e+00 4.154259e-05 9.773520e-01 8.699046e-01
3.135978e+00 4.185440e-05 9.115100e-01 8.698827e-01
3.149404e+00 4.544724e-05 9.968450e-01 8.697827e-01
3.126620e+00 4.033438e-05 1.001616e+00 8.695149e-01
3.133667e+00 4.366345e-05 9.742690e-01 8.697636e-01
3.138839e+00 4.137863e-05 1.017917e+00 8.696702e-01
3.140132e+00 4.162543e-05 1.073451e+00 8.692329e-01
3.137550e+00 4.130532e-05 9.759270e-01 8.695969e-01
3.136280e+00 4.369814e-05 9.929640e-01 8.699665e-01
3.159782e+00 6.052952e-05 1.012466e+00 8.704153e-01
3.131425e+00 4.306700e-05 1.069404e+00 8.695807e-01
3.143522e+00 5.513896e-05 1.014033e+00 8.700437e-01
3.129736e+00 4.186017e-05 1.034769e+00 8.703467e-01
3.125817e+00 4.201157e-05 9.952540e-01 8.691881e-01
3.133415e+00 4.380786e-05 9.727660e-01 8.692415e-01
3.127981e+00 4.100799e-05 9.419120e-01 8.704305e-01
3.127551e+00 4.206926e-05 9.751480e-01 8.691767e-01
3.132354e+00 4.206367e-05 1.036699e+00 8.702857e-01
3.129858e+00 4.102255e-05 9.299280e-01 8.707116e-01
3.132140e+00 4.119060e-05 1.045851e+00 8.693339e-01
3.130762e+00 4.777304e-05 9.549370e-01 8.693187e-01
3.145118e+00 4.506940e-05 9.395780e-01 8.706344e-01
3.129118e+00 4.129644e-05 9.644530e-01 8.702981e-01
3.131377e+00 4.150273e-05 9.580000e-01 8.702819e-01
3.127761e+00 4.296081e-05 9.707180e-01 8.695435e-01
3.132300e+00 4.242436e-05 9.008830e-01 8.704353e-01
3.138740e+00 4.203746e-05 9.714390e-01 8.705954e-01
