# dim  N   mc   dt  Impsamp 
# 2    2 262394 0.1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.917659e+00 7.877904e-05 1.148284e+00 9.724174e-01
3.322458e+00 3.991860e-05 1.094457e+00 9.726270e-01
3.291542e+00 4.147366e-05 1.105933e+00 9.723717e-01
3.273938e+00 3.908537e-05 1.074828e+00 9.726918e-01
3.271150e+00 4.061326e-05 1.156262e+00 9.725089e-01
3.262923e+00 3.868322e-05 1.132637e+00 9.726537e-01
3.257129e+00 3.955659e-05 1.165345e+00 9.724641e-01
3.261240e+00 3.896165e-05 1.120099e+00 9.726147e-01
3.260052e+00 3.900447e-05 1.078742e+00 9.725966e-01
3.260974e+00 3.891534e-05 1.036651e+00 9.724889e-01
3.259269e+00 3.890458e-05 1.062367e+00 9.729472e-01
3.259319e+00 3.867665e-05 1.100949e+00 9.724498e-01
3.263010e+00 4.029524e-05 1.182845e+00 9.724336e-01
3.260243e+00 3.902376e-05 1.226410e+00 9.725108e-01
3.264423e+00 3.931430e-05 1.137294e+00 9.725575e-01
3.258567e+00 3.906622e-05 1.061087e+00 9.726671e-01
3.262593e+00 3.949506e-05 1.162191e+00 9.724241e-01
3.260235e+00 3.884864e-05 1.135751e+00 9.724298e-01
3.256793e+00 3.877640e-05 1.164206e+00 9.726509e-01
3.263747e+00 3.902273e-05 1.076500e+00 9.726937e-01
3.260348e+00 3.872563e-05 1.128139e+00 9.727318e-01
3.262255e+00 3.930739e-05 1.091185e+00 9.721259e-01
3.260440e+00 3.869148e-05 1.248649e+00 9.722459e-01
3.257489e+00 3.881227e-05 1.520614e+00 9.729719e-01
3.258165e+00 3.853756e-05 1.834092e+00 9.727052e-01
3.261173e+00 3.914273e-05 1.267189e+00 9.725813e-01
3.261156e+00 3.919663e-05 1.155733e+00 9.724565e-01
3.263283e+00 7.498127e-05 1.124875e+00 9.724365e-01
3.263312e+00 3.909800e-05 1.141574e+00 9.723088e-01
3.258329e+00 3.867598e-05 1.133351e+00 9.725032e-01
3.261378e+00 3.904909e-05 1.053570e+00 9.724641e-01
3.260475e+00 3.884747e-05 1.055258e+00 9.724956e-01
3.259663e+00 3.900370e-05 1.042075e+00 9.723993e-01
3.260246e+00 3.877824e-05 1.114108e+00 9.724717e-01
3.257154e+00 3.864788e-05 1.040532e+00 9.726880e-01
3.258058e+00 3.873645e-05 1.113987e+00 9.723584e-01
3.259956e+00 3.860582e-05 1.080197e+00 9.724898e-01
3.256508e+00 3.897316e-05 1.056744e+00 9.724508e-01
3.260653e+00 3.902547e-05 1.059434e+00 9.726461e-01
3.257656e+00 3.870816e-05 1.084447e+00 9.725003e-01
3.261109e+00 3.898718e-05 1.053176e+00 9.724803e-01
3.260596e+00 3.871188e-05 1.042644e+00 9.728814e-01
3.265311e+00 4.302821e-05 1.068064e+00 9.724565e-01
3.260343e+00 3.894740e-05 1.038450e+00 9.723822e-01
3.256032e+00 3.945167e-05 1.023682e+00 9.728690e-01
3.259051e+00 3.879335e-05 1.013820e+00 9.724956e-01
3.259671e+00 3.912680e-05 1.058069e+00 9.722974e-01
3.255649e+00 3.866136e-05 1.018041e+00 9.725280e-01
3.252814e+00 3.886732e-05 1.029950e+00 9.726356e-01
3.259777e+00 4.030436e-05 1.030280e+00 9.722307e-01
3.258564e+00 4.190335e-05 1.053799e+00 9.724022e-01
3.259914e+00 3.907896e-05 1.074337e+00 9.725337e-01
3.255331e+00 3.860862e-05 1.073787e+00 9.728004e-01
3.259504e+00 3.870966e-05 1.067296e+00 9.724393e-01
3.258380e+00 3.878014e-05 1.107117e+00 9.724374e-01
3.256169e+00 3.918355e-05 1.104181e+00 9.726413e-01
3.259762e+00 3.957956e-05 1.107299e+00 9.723860e-01
3.256266e+00 3.986650e-05 1.077964e+00 9.726061e-01
3.259183e+00 3.867080e-05 1.110900e+00 9.724489e-01
3.256044e+00 3.859072e-05 1.190857e+00 9.724108e-01
3.256995e+00 3.861416e-05 1.062149e+00 9.728205e-01
3.259393e+00 3.882661e-05 1.078250e+00 9.724508e-01
3.257397e+00 3.936191e-05 1.054007e+00 9.725489e-01
3.257210e+00 3.862750e-05 1.122754e+00 9.726089e-01
3.257784e+00 3.899367e-05 1.050799e+00 9.724270e-01
3.254194e+00 3.891028e-05 1.056570e+00 9.726337e-01
3.253163e+00 3.874060e-05 1.126304e+00 9.724946e-01
3.257216e+00 3.897846e-05 1.187655e+00 9.725480e-01
3.254065e+00 3.918138e-05 1.238663e+00 9.725527e-01
3.256784e+00 3.878785e-05 1.124378e+00 9.724803e-01
3.255073e+00 3.851555e-05 1.077440e+00 9.725403e-01
3.251318e+00 3.858939e-05 1.076824e+00 9.725232e-01
3.254357e+00 3.885174e-05 1.167179e+00 9.723364e-01
3.257058e+00 3.902962e-05 1.121841e+00 9.722078e-01
3.255113e+00 3.869019e-05 1.138087e+00 9.724070e-01
3.250036e+00 3.846592e-05 1.067994e+00 9.725632e-01
3.253394e+00 3.889599e-05 1.064033e+00 9.726223e-01
3.246933e+00 3.811191e-05 1.086522e+00 9.727290e-01
3.252396e+00 3.854348e-05 1.072486e+00 9.725318e-01
3.253164e+00 3.916383e-05 1.082685e+00 9.725861e-01
3.253809e+00 3.966932e-05 1.128908e+00 9.726661e-01
3.256035e+00 3.898202e-05 1.167235e+00 9.727852e-01
3.249664e+00 3.952516e-05 1.147642e+00 9.722879e-01
3.250949e+00 3.873475e-05 1.165555e+00 9.726890e-01
3.249869e+00 3.866473e-05 1.153257e+00 9.727185e-01
3.248369e+00 3.854855e-05 1.152700e+00 9.726642e-01
