# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.372973e+00 5.067157e-05 9.917320e-01 8.623578e-01
3.393079e+00 5.422635e-05 9.573410e-01 8.627027e-01
3.376337e+00 5.273446e-05 9.992560e-01 8.626388e-01
3.368672e+00 5.222798e-05 8.971460e-01 8.626036e-01
3.357680e+00 5.005664e-05 9.168590e-01 8.622730e-01
3.358211e+00 5.061062e-05 1.047923e+00 8.630790e-01
3.336605e+00 4.980450e-05 9.494300e-01 8.621100e-01
3.336323e+00 5.324291e-05 9.122890e-01 8.630885e-01
3.341004e+00 5.355134e-05 9.592580e-01 8.628370e-01
3.335455e+00 4.913493e-05 9.631000e-01 8.623816e-01
3.338779e+00 5.115143e-05 9.234940e-01 8.629018e-01
3.323025e+00 5.428763e-05 9.716360e-01 8.622167e-01
3.344707e+00 5.262961e-05 1.000184e+00 8.628341e-01
3.323584e+00 4.927480e-05 9.723450e-01 8.620748e-01
3.336635e+00 5.225665e-05 9.753910e-01 8.623416e-01
3.307765e+00 4.912582e-05 9.147480e-01 8.616441e-01
3.305482e+00 5.001289e-05 9.454910e-01 8.619462e-01
3.313433e+00 4.998429e-05 9.837870e-01 8.624702e-01
3.323526e+00 5.768184e-05 9.410830e-01 8.627474e-01
3.299271e+00 4.951339e-05 9.395070e-01 8.620967e-01
3.303176e+00 4.835711e-05 1.014011e+00 8.628170e-01
3.305287e+00 4.882524e-05 9.820210e-01 8.624416e-01
3.301622e+00 5.173976e-05 9.852570e-01 8.622196e-01
3.289795e+00 4.958311e-05 9.104570e-01 8.615117e-01
3.296007e+00 4.944561e-05 9.582590e-01 8.626903e-01
3.293214e+00 4.895564e-05 9.946480e-01 8.623092e-01
3.290320e+00 5.252451e-05 9.545130e-01 8.621891e-01
3.274192e+00 4.706989e-05 9.107550e-01 8.620224e-01
3.281791e+00 4.848465e-05 9.760490e-01 8.624025e-01
3.292838e+00 5.115416e-05 1.018847e+00 8.629447e-01
3.280987e+00 4.857042e-05 1.032942e+00 8.621300e-01
3.268817e+00 4.980668e-05 9.634770e-01 8.615774e-01
3.279113e+00 4.860491e-05 9.561240e-01 8.626007e-01
3.271331e+00 4.815893e-05 9.415990e-01 8.619947e-01
3.270743e+00 4.991557e-05 1.000196e+00 8.626807e-01
3.262566e+00 5.238917e-05 9.514710e-01 8.622615e-01
3.279730e+00 4.936061e-05 9.888250e-01 8.620329e-01
3.267546e+00 4.878754e-05 1.017476e+00 8.629361e-01
3.269406e+00 4.891059e-05 9.554130e-01 8.622958e-01
