# dim  N   mc   dt  Impsamp 
# 2    2 262394 0.1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
4.304482e+00 2.501856e-04 1.019414e+00 9.728767e-01
4.298620e+00 1.034722e-04 1.050626e+00 9.730139e-01
4.272008e+00 9.412659e-05 1.067373e+00 9.734331e-01
4.272214e+00 9.547840e-05 1.020224e+00 9.731349e-01
4.271888e+00 1.113162e-04 1.022338e+00 9.729977e-01
4.287072e+00 1.024916e-04 1.046512e+00 9.727385e-01
4.266792e+00 9.552696e-05 1.040105e+00 9.728719e-01
4.237061e+00 9.562279e-05 1.026234e+00 9.731253e-01
4.218200e+00 9.407276e-05 1.041802e+00 9.731196e-01
4.218682e+00 9.319386e-05 1.009114e+00 9.729862e-01
4.196424e+00 9.664875e-05 1.008776e+00 9.727499e-01
4.187498e+00 9.222737e-05 1.043385e+00 9.731263e-01
4.214373e+00 9.612746e-05 1.023243e+00 9.731711e-01
4.190780e+00 9.610899e-05 1.011103e+00 9.732111e-01
4.146204e+00 8.708155e-05 1.013115e+00 9.728224e-01
4.162628e+00 1.114602e-04 1.032644e+00 9.725975e-01
4.152790e+00 9.092887e-05 1.023653e+00 9.728233e-01
4.147550e+00 8.891994e-05 1.033809e+00 9.725623e-01
4.113409e+00 8.786814e-05 1.027561e+00 9.727252e-01
4.099512e+00 9.062760e-05 1.042285e+00 9.724584e-01
4.075711e+00 8.494018e-05 1.053471e+00 9.728719e-01
4.081827e+00 8.968477e-05 1.016670e+00 9.727052e-01
4.057603e+00 8.603111e-05 1.062048e+00 9.727223e-01
4.045914e+00 8.412166e-05 1.015046e+00 9.730301e-01
4.047818e+00 8.620604e-05 1.026559e+00 9.728767e-01
3.993139e+00 7.848800e-05 1.030597e+00 9.727214e-01
3.981468e+00 7.856172e-05 1.042859e+00 9.728910e-01
3.971426e+00 7.872616e-05 1.039002e+00 9.726671e-01
3.971344e+00 7.906534e-05 1.058740e+00 9.729234e-01
3.958185e+00 8.208788e-05 1.029132e+00 9.727700e-01
3.925841e+00 8.786615e-05 1.051042e+00 9.728319e-01
3.922374e+00 7.849829e-05 1.036062e+00 9.728004e-01
3.914354e+00 8.772623e-05 1.040150e+00 9.729424e-01
3.883531e+00 7.146953e-05 1.012914e+00 9.727776e-01
3.882884e+00 7.793684e-05 1.006953e+00 9.728014e-01
3.869706e+00 7.141274e-05 1.024581e+00 9.726185e-01
3.833725e+00 6.990868e-05 1.024303e+00 9.728347e-01
3.843365e+00 7.011894e-05 1.067422e+00 9.729577e-01
3.822500e+00 7.391081e-05 1.029478e+00 9.729043e-01
3.794837e+00 6.733267e-05 1.045456e+00 9.729176e-01
3.776907e+00 6.590214e-05 1.022602e+00 9.726251e-01
3.768890e+00 6.936025e-05 1.022421e+00 9.730120e-01
3.754145e+00 6.603879e-05 1.023081e+00 9.726947e-01
3.743358e+00 6.789656e-05 1.040718e+00 9.728338e-01
3.741778e+00 6.843282e-05 1.035181e+00 9.726947e-01
3.735098e+00 6.527922e-05 1.027358e+00 9.727985e-01
3.714549e+00 6.385090e-05 1.046146e+00 9.727976e-01
3.690952e+00 6.354791e-05 1.016979e+00 9.730062e-01
3.671846e+00 6.077243e-05 1.045405e+00 9.728709e-01
3.674899e+00 6.482604e-05 1.026761e+00 9.728814e-01
3.665425e+00 6.103718e-05 1.054696e+00 9.729072e-01
3.656105e+00 5.936144e-05 1.038833e+00 9.726080e-01
3.637100e+00 6.051100e-05 1.034106e+00 9.724908e-01
3.629056e+00 6.071564e-05 1.002527e+00 9.727614e-01
3.627647e+00 6.057313e-05 1.048266e+00 9.727766e-01
3.590279e+00 5.672034e-05 1.027706e+00 9.730053e-01
3.606517e+00 5.858461e-05 1.031009e+00 9.730958e-01
3.584219e+00 5.473314e-05 1.032546e+00 9.725546e-01
3.569344e+00 5.575253e-05 1.005657e+00 9.730120e-01
3.550557e+00 5.515905e-05 1.032212e+00 9.724641e-01
3.565873e+00 5.530158e-05 1.035573e+00 9.728119e-01
3.559411e+00 6.317008e-05 1.048778e+00 9.727357e-01
3.545582e+00 6.574041e-05 1.019414e+00 9.729443e-01
3.525246e+00 5.840754e-05 1.058133e+00 9.728643e-01
3.514125e+00 5.214057e-05 1.037845e+00 9.728614e-01
3.516132e+00 5.465877e-05 1.029708e+00 9.727871e-01
3.519781e+00 6.339395e-05 1.029772e+00 9.727195e-01
3.512098e+00 5.222529e-05 1.029820e+00 9.728281e-01
