# dim  N   mc   rho  Brute 
# 1    1 1049576 1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.059709e-01 5.977625e-09 2.642900e-01 8.604341e-01
5.066078e-01 5.845696e-09 2.175660e-01 8.604103e-01
5.057634e-01 5.700593e-09 2.051540e-01 8.608972e-01
5.067066e-01 5.655162e-09 2.094490e-01 8.597881e-01
5.052840e-01 5.453110e-09 2.345490e-01 8.606266e-01
5.046599e-01 5.430953e-09 2.099080e-01 8.600349e-01
5.049077e-01 5.297286e-09 2.339250e-01 8.599663e-01
5.048312e-01 5.195269e-09 2.131700e-01 8.601321e-01
5.047756e-01 5.059957e-09 1.897240e-01 8.605132e-01
5.044032e-01 4.963408e-09 2.164600e-01 8.607057e-01
5.045989e-01 4.882642e-09 2.055620e-01 8.603036e-01
5.053687e-01 4.791124e-09 2.160050e-01 8.599053e-01
5.044059e-01 4.713291e-09 1.846710e-01 8.596805e-01
5.043605e-01 4.585933e-09 1.780110e-01 8.609315e-01
5.042559e-01 4.525255e-09 1.877910e-01 8.604208e-01
5.046226e-01 4.419497e-09 1.838540e-01 8.605675e-01
5.042834e-01 4.330215e-09 1.892590e-01 8.598834e-01
5.039467e-01 4.234300e-09 1.944640e-01 8.604236e-01
5.046244e-01 4.154965e-09 1.957840e-01 8.601254e-01
5.043226e-01 4.065289e-09 1.856960e-01 8.601702e-01
5.040089e-01 3.964977e-09 1.910850e-01 8.612020e-01
5.039511e-01 3.843324e-09 1.854490e-01 8.608610e-01
5.039926e-01 3.892512e-09 2.380240e-01 8.600330e-01
5.031892e-01 3.767926e-09 2.192700e-01 8.599015e-01
5.032763e-01 3.689226e-09 2.175300e-01 8.607914e-01
5.029133e-01 3.586085e-09 2.029040e-01 8.609010e-01
5.031411e-01 3.543150e-09 1.975310e-01 8.602969e-01
5.035341e-01 3.461174e-09 1.976770e-01 8.603427e-01
5.031847e-01 3.380306e-09 1.938510e-01 8.601130e-01
5.031435e-01 3.331615e-09 1.828790e-01 8.605294e-01
5.035900e-01 3.273874e-09 1.851170e-01 8.604389e-01
5.026958e-01 3.211466e-09 2.052290e-01 8.595204e-01
5.030802e-01 3.134140e-09 2.301120e-01 8.597900e-01
5.029837e-01 3.081510e-09 2.224110e-01 8.601740e-01
5.030135e-01 3.009490e-09 2.140220e-01 8.602102e-01
5.030114e-01 2.920465e-09 2.152570e-01 8.615136e-01
5.025817e-01 2.864611e-09 2.028860e-01 8.610353e-01
5.026822e-01 2.789349e-09 2.142240e-01 8.610420e-01
5.029334e-01 2.777179e-09 2.092190e-01 8.600940e-01
5.026562e-01 2.716896e-09 2.151980e-01 8.601026e-01
5.025656e-01 2.653436e-09 1.984860e-01 8.602788e-01
5.028309e-01 2.598057e-09 2.021830e-01 8.605027e-01
5.024259e-01 2.565650e-09 1.954690e-01 8.606771e-01
5.023575e-01 2.529791e-09 2.131810e-01 8.602169e-01
5.023145e-01 2.438549e-09 2.049420e-01 8.604656e-01
5.027109e-01 2.410236e-09 1.980670e-01 8.607733e-01
5.024118e-01 2.363235e-09 2.238710e-01 8.600244e-01
5.021245e-01 2.321234e-09 2.114380e-01 8.607676e-01
5.023243e-01 2.282348e-09 2.319320e-01 8.603274e-01
5.022333e-01 2.224909e-09 2.105440e-01 8.601931e-01
5.022004e-01 2.184505e-09 2.160060e-01 8.607095e-01
5.022042e-01 2.136902e-09 2.003030e-01 8.607323e-01
5.015184e-01 2.095464e-09 2.037200e-01 8.605837e-01
5.019309e-01 2.067136e-09 1.964250e-01 8.598910e-01
5.019486e-01 2.028579e-09 2.161640e-01 8.602626e-01
5.018146e-01 1.971359e-09 2.016750e-01 8.604436e-01
5.017501e-01 1.932336e-09 2.154780e-01 8.599301e-01
5.017225e-01 1.910487e-09 2.221350e-01 8.598787e-01
5.023039e-01 1.833924e-09 2.107150e-01 8.604103e-01
5.015580e-01 1.814923e-09 2.226670e-01 8.607180e-01
5.015846e-01 1.783655e-09 1.996040e-01 8.607809e-01
5.014527e-01 1.767967e-09 2.106950e-01 8.602436e-01
5.015466e-01 1.716390e-09 2.125470e-01 8.601302e-01
5.018524e-01 1.689722e-09 2.002990e-01 8.597958e-01
