# dim  N   mc   dt  Impsamp 
# 1    1 1049576 0.1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.058406e-01 1.684590e-09 2.420630e-01 9.720535e-01
5.056704e-01 1.633915e-09 2.174870e-01 9.718810e-01
5.059297e-01 1.580186e-09 2.151630e-01 9.719287e-01
5.056415e-01 1.544366e-09 2.170880e-01 9.719696e-01
5.050987e-01 1.494615e-09 2.184350e-01 9.719372e-01
5.052846e-01 1.466110e-09 2.225200e-01 9.720058e-01
5.047886e-01 1.418124e-09 2.172170e-01 9.717095e-01
5.050720e-01 1.384057e-09 2.165730e-01 9.721907e-01
5.047356e-01 1.342992e-09 2.163650e-01 9.722212e-01
5.047150e-01 1.297555e-09 2.153290e-01 9.716409e-01
5.044506e-01 1.268563e-09 2.150860e-01 9.717038e-01
5.045736e-01 1.227929e-09 2.151490e-01 9.718239e-01
5.043725e-01 1.191923e-09 2.229430e-01 9.719553e-01
5.041765e-01 1.159769e-09 2.149750e-01 9.720382e-01
5.037979e-01 1.131855e-09 2.148770e-01 9.721411e-01
5.039714e-01 1.100942e-09 2.181910e-01 9.721002e-01
5.039766e-01 1.066382e-09 2.575270e-01 9.719515e-01
5.036341e-01 1.037561e-09 2.263080e-01 9.719715e-01
5.035067e-01 1.015145e-09 2.155110e-01 9.718267e-01
5.035694e-01 9.825284e-10 2.149880e-01 9.722097e-01
5.034425e-01 9.520871e-10 2.154800e-01 9.721392e-01
5.030025e-01 9.246191e-10 2.153260e-01 9.720363e-01
5.031833e-01 8.993601e-10 2.223680e-01 9.719572e-01
5.030396e-01 8.780844e-10 2.149560e-01 9.720830e-01
5.028917e-01 8.522692e-10 2.152980e-01 9.721345e-01
5.028525e-01 8.288370e-10 2.218020e-01 9.716390e-01
5.027188e-01 8.036602e-10 2.273020e-01 9.719658e-01
5.028360e-01 7.800568e-10 2.156230e-01 9.718115e-01
5.028029e-01 7.647144e-10 2.151320e-01 9.720544e-01
5.026858e-01 7.396799e-10 2.152930e-01 9.717400e-01
5.024599e-01 7.151738e-10 2.153450e-01 9.721164e-01
5.025825e-01 6.912079e-10 2.148730e-01 9.718096e-01
5.023668e-01 6.727315e-10 2.159190e-01 9.719534e-01
5.023858e-01 6.614448e-10 2.152090e-01 9.719563e-01
5.021263e-01 6.323186e-10 2.151170e-01 9.720535e-01
5.021964e-01 6.222896e-10 2.354680e-01 9.720420e-01
5.020495e-01 6.059401e-10 2.153690e-01 9.721754e-01
5.021826e-01 5.867511e-10 2.154720e-01 9.721935e-01
5.020335e-01 5.745782e-10 2.170810e-01 9.721735e-01
5.019842e-01 5.544371e-10 2.152930e-01 9.720201e-01
5.019105e-01 5.396682e-10 2.150790e-01 9.720249e-01
5.018974e-01 5.270070e-10 2.219360e-01 9.720201e-01
