# dim  N   mc   dt  Impsamp 
# 1    1 1049576 0.1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.009129e-01 2.591128e-10 4.295740e-01 9.719830e-01
5.008884e-01 2.417496e-10 4.297440e-01 9.719487e-01
5.007830e-01 2.257934e-10 4.711390e-01 9.721164e-01
5.007497e-01 2.124095e-10 4.308640e-01 9.719782e-01
5.006404e-01 1.976047e-10 4.288270e-01 9.717219e-01
5.005912e-01 1.854224e-10 4.297680e-01 9.720497e-01
5.006538e-01 1.720132e-10 4.294370e-01 9.718458e-01
5.005716e-01 1.611761e-10 4.287880e-01 9.718839e-01
5.005112e-01 1.505702e-10 4.307840e-01 9.718953e-01
5.005212e-01 1.410444e-10 4.298480e-01 9.721640e-01
5.004573e-01 1.328581e-10 4.297370e-01 9.725089e-01
5.003790e-01 1.240994e-10 4.287420e-01 9.720258e-01
5.004534e-01 1.162629e-10 4.302980e-01 9.716438e-01
5.003539e-01 1.080339e-10 4.296740e-01 9.719229e-01
5.003180e-01 1.011159e-10 4.287580e-01 9.720011e-01
5.003265e-01 9.515767e-11 4.298300e-01 9.717638e-01
5.002487e-01 8.880690e-11 4.362190e-01 9.720144e-01
5.002455e-01 8.303920e-11 4.310660e-01 9.720716e-01
5.002781e-01 7.832300e-11 4.289100e-01 9.718744e-01
5.002434e-01 7.275540e-11 4.299080e-01 9.717934e-01
5.002796e-01 6.809183e-11 4.295530e-01 9.720887e-01
5.002238e-01 6.345577e-11 4.288550e-01 9.719582e-01
5.002173e-01 5.967578e-11 4.339890e-01 9.717810e-01
5.002161e-01 5.604489e-11 4.287270e-01 9.718258e-01
5.001582e-01 5.221593e-11 4.301070e-01 9.720211e-01
5.002014e-01 4.849833e-11 4.299670e-01 9.719744e-01
5.001752e-01 4.579243e-11 4.303250e-01 9.720506e-01
5.001301e-01 4.295454e-11 4.296780e-01 9.719668e-01
5.001442e-01 4.016635e-11 4.294830e-01 9.719754e-01
5.001291e-01 3.775884e-11 4.298950e-01 9.717877e-01
5.001464e-01 3.522351e-11 4.299530e-01 9.720830e-01
5.001250e-01 3.313235e-11 4.299620e-01 9.722345e-01
5.000963e-01 3.095886e-11 4.290300e-01 9.721945e-01
5.001173e-01 2.907502e-11 4.425030e-01 9.718439e-01
5.000712e-01 2.696747e-11 4.294810e-01 9.717200e-01
5.001075e-01 2.537110e-11 4.290470e-01 9.721545e-01
5.000739e-01 2.386260e-11 4.301730e-01 9.720116e-01
5.000983e-01 2.231031e-11 4.297780e-01 9.718991e-01
5.000156e-01 2.076433e-11 4.299070e-01 9.718467e-01
5.000469e-01 1.958087e-11 4.296490e-01 9.719630e-01
5.000499e-01 1.819494e-11 4.301870e-01 9.721240e-01
5.000349e-01 1.727254e-11 4.288750e-01 9.719515e-01
5.000314e-01 1.612357e-11 4.295670e-01 9.720754e-01
5.000337e-01 1.500849e-11 4.302650e-01 9.720106e-01
5.000268e-01 1.414766e-11 4.303980e-01 9.718315e-01
5.000263e-01 1.317012e-11 4.303300e-01 9.716800e-01
5.000375e-01 1.240297e-11 4.328840e-01 9.722259e-01
5.000163e-01 1.152369e-11 4.319820e-01 9.719315e-01
5.000204e-01 1.089222e-11 4.296490e-01 9.720049e-01
5.000221e-01 1.018269e-11 4.289720e-01 9.722164e-01
5.000170e-01 9.519665e-12 4.296390e-01 9.721821e-01
5.000125e-01 9.005911e-12 4.287010e-01 9.716562e-01
5.000161e-01 8.400643e-12 4.297820e-01 9.721421e-01
4.999961e-01 7.815331e-12 4.287630e-01 9.721802e-01
5.000003e-01 7.368337e-12 4.300140e-01 9.716362e-01
5.000062e-01 6.963202e-12 4.287510e-01 9.721983e-01
5.000069e-01 6.487411e-12 4.287990e-01 9.717305e-01
5.000039e-01 6.125241e-12 4.297440e-01 9.717457e-01
5.000168e-01 5.689259e-12 4.290770e-01 9.719325e-01
5.000120e-01 5.338625e-12 4.298140e-01 9.720830e-01
4.999939e-01 5.024418e-12 4.388180e-01 9.717286e-01
5.000046e-01 4.718890e-12 4.294230e-01 9.719163e-01
4.999916e-01 4.459439e-12 4.290340e-01 9.719353e-01
4.999847e-01 4.150221e-12 4.294250e-01 9.717010e-01
4.999849e-01 3.907882e-12 4.297380e-01 9.721459e-01
5.000092e-01 3.701199e-12 4.292230e-01 9.716771e-01
4.999993e-01 3.465389e-12 4.298510e-01 9.720592e-01
5.000034e-01 3.268216e-12 4.293430e-01 9.719992e-01
4.999919e-01 3.064081e-12 4.305560e-01 9.719782e-01
4.999855e-01 2.876818e-12 4.293360e-01 9.718439e-01
4.999925e-01 2.717491e-12 4.287850e-01 9.718725e-01
4.999913e-01 2.545628e-12 4.308500e-01 9.721059e-01
4.999885e-01 2.389466e-12 4.299080e-01 9.717076e-01
4.999975e-01 2.265161e-12 4.299370e-01 9.721678e-01
4.999845e-01 2.154504e-12 4.287130e-01 9.720401e-01
4.999764e-01 2.019324e-12 4.297740e-01 9.717029e-01
4.999869e-01 1.905186e-12 4.288440e-01 9.718648e-01
4.999864e-01 1.784766e-12 4.299460e-01 9.719487e-01
4.999807e-01 1.695569e-12 4.297860e-01 9.723164e-01
4.999771e-01 1.607503e-12 4.288800e-01 9.719858e-01
4.999907e-01 1.527847e-12 4.302370e-01 9.721335e-01
4.999889e-01 1.435073e-12 4.288020e-01 9.719249e-01
4.999866e-01 1.362798e-12 4.313420e-01 9.718391e-01
4.999871e-01 1.286202e-12 4.298020e-01 9.720659e-01
4.999889e-01 1.223614e-12 4.292240e-01 9.718153e-01
4.999834e-01 1.152749e-12 4.297290e-01 9.722907e-01
4.999829e-01 1.100299e-12 4.289140e-01 9.720392e-01
4.999880e-01 1.042407e-12 4.306020e-01 9.717981e-01
4.999847e-01 9.933804e-13 4.286850e-01 9.716714e-01
4.999866e-01 9.516982e-13 4.320610e-01 9.722126e-01
4.999899e-01 9.026625e-13 4.288380e-01 9.718401e-01
4.999858e-01 8.591224e-13 4.287820e-01 9.721831e-01
4.999885e-01 8.220267e-13 4.299590e-01 9.719649e-01
4.999845e-01 7.871618e-13 4.290220e-01 9.719639e-01
4.999805e-01 7.495837e-13 4.288120e-01 9.720944e-01
4.999828e-01 7.152015e-13 4.297110e-01 9.721030e-01
4.999825e-01 6.902706e-13 4.313240e-01 9.718229e-01
4.999798e-01 6.599055e-13 4.304820e-01 9.718848e-01
4.999823e-01 6.345820e-13 4.290370e-01 9.719449e-01
4.999865e-01 6.106819e-13 4.307300e-01 9.721954e-01
4.999849e-01 5.870876e-13 4.286940e-01 9.719868e-01
4.999856e-01 5.644235e-13 4.290070e-01 9.720230e-01
4.999849e-01 5.439037e-13 4.293000e-01 9.717905e-01
4.999826e-01 5.260829e-13 4.309560e-01 9.720325e-01
4.999803e-01 5.080315e-13 4.292350e-01 9.719582e-01
4.999836e-01 4.895643e-13 4.304340e-01 9.722288e-01
4.999814e-01 4.774635e-13 4.314420e-01 9.721992e-01
4.999819e-01 4.623724e-13 4.288220e-01 9.718143e-01
4.999834e-01 4.491163e-13 4.297120e-01 9.723164e-01
4.999799e-01 4.346171e-13 4.300800e-01 9.720611e-01
4.999842e-01 4.230147e-13 4.298900e-01 9.721840e-01
4.999872e-01 4.132038e-13 4.289090e-01 9.718610e-01
4.999836e-01 4.013764e-13 4.294090e-01 9.718019e-01
4.999836e-01 3.921678e-13 4.298170e-01 9.722707e-01
4.999850e-01 3.825832e-13 4.287050e-01 9.717314e-01
4.999824e-01 3.750132e-13 4.301080e-01 9.717857e-01
4.999844e-01 3.660240e-13 4.288380e-01 9.716914e-01
4.999837e-01 3.597122e-13 4.299320e-01 9.719658e-01
4.999826e-01 3.519021e-13 4.297590e-01 9.719611e-01
4.999831e-01 3.461966e-13 4.289180e-01 9.718610e-01
4.999821e-01 3.393997e-13 4.296980e-01 9.720649e-01
4.999833e-01 3.336723e-13 4.287650e-01 9.716895e-01
4.999817e-01 3.281595e-13 4.297900e-01 9.719839e-01
4.999805e-01 3.230701e-13 4.287810e-01 9.719896e-01
4.999827e-01 3.187813e-13 4.308140e-01 9.721945e-01
4.999811e-01 3.140217e-13 4.288410e-01 9.718715e-01
4.999822e-01 3.099514e-13 4.288930e-01 9.718477e-01
4.999815e-01 3.064917e-13 4.627510e-01 9.719601e-01
4.999833e-01 3.026890e-13 4.297730e-01 9.721535e-01
4.999846e-01 2.991440e-13 4.310910e-01 9.721916e-01
4.999827e-01 2.967205e-13 4.349620e-01 9.722383e-01
4.999818e-01 2.934327e-13 4.301310e-01 9.720258e-01
4.999812e-01 2.902097e-13 4.317030e-01 9.718867e-01
4.999828e-01 2.879777e-13 4.333940e-01 9.724117e-01
4.999818e-01 2.857039e-13 4.302110e-01 9.716324e-01
4.999816e-01 2.833983e-13 4.290140e-01 9.717343e-01
4.999817e-01 2.813287e-13 4.299860e-01 9.720144e-01
4.999823e-01 2.790788e-13 4.286790e-01 9.719763e-01
4.999823e-01 2.773570e-13 4.307060e-01 9.719182e-01
4.999820e-01 2.756629e-13 4.288620e-01 9.719010e-01
4.999821e-01 2.737835e-13 4.298430e-01 9.720220e-01
4.999816e-01 2.723609e-13 4.298010e-01 9.722012e-01
4.999825e-01 2.709297e-13 4.288840e-01 9.721383e-01
4.999813e-01 2.694975e-13 4.305380e-01 9.718991e-01
4.999811e-01 2.683365e-13 4.291850e-01 9.720840e-01
4.999813e-01 2.673867e-13 4.307820e-01 9.717114e-01
4.999822e-01 2.662240e-13 4.289910e-01 9.722316e-01
4.999810e-01 2.651743e-13 4.297350e-01 9.720278e-01
4.999825e-01 2.643053e-13 4.287850e-01 9.718858e-01
4.999816e-01 2.632723e-13 4.287910e-01 9.718801e-01
4.999814e-01 2.624330e-13 4.297200e-01 9.721535e-01
4.999829e-01 2.616485e-13 4.292800e-01 9.720544e-01
4.999829e-01 2.610512e-13 4.300460e-01 9.720516e-01
4.999823e-01 2.603267e-13 4.299300e-01 9.718372e-01
4.999821e-01 2.596119e-13 4.298070e-01 9.720220e-01
4.999819e-01 2.590364e-13 4.286830e-01 9.723364e-01
4.999817e-01 2.584621e-13 4.287730e-01 9.719782e-01
4.999814e-01 2.578861e-13 4.304270e-01 9.720344e-01
4.999817e-01 2.574726e-13 4.288550e-01 9.720373e-01
4.999823e-01 2.570471e-13 4.312650e-01 9.722536e-01
4.999809e-01 2.565423e-13 4.298660e-01 9.717705e-01
4.999817e-01 2.561604e-13 4.299880e-01 9.719544e-01
4.999816e-01 2.557886e-13 4.288210e-01 9.720220e-01
4.999820e-01 2.554567e-13 4.288530e-01 9.720030e-01
4.999813e-01 2.550967e-13 4.307520e-01 9.720058e-01
4.999815e-01 2.548299e-13 4.288740e-01 9.722907e-01
4.999817e-01 2.544867e-13 4.296450e-01 9.718553e-01
4.999816e-01 2.542712e-13 4.287940e-01 9.721202e-01
4.999819e-01 2.539954e-13 4.306110e-01 9.718753e-01
4.999821e-01 2.537824e-13 4.296170e-01 9.719411e-01
4.999814e-01 2.535457e-13 4.287330e-01 9.720278e-01
4.999816e-01 2.533218e-13 4.309400e-01 9.719553e-01
4.999816e-01 2.531290e-13 4.296470e-01 9.718648e-01
4.999816e-01 2.529535e-13 4.301610e-01 9.720287e-01
4.999823e-01 2.527913e-13 4.292840e-01 9.721630e-01
4.999814e-01 2.526212e-13 4.298380e-01 9.718486e-01
4.999817e-01 2.524583e-13 4.297140e-01 9.719115e-01
