# dim  N   mc   dt  Impsamp 
# 1    1 1049576 0.1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.115739e-01 5.099375e-09 6.665150e-01 9.722402e-01
5.104893e-01 4.862220e-09 6.803930e-01 9.723755e-01
5.093619e-01 4.663917e-09 6.869510e-01 9.722488e-01
5.091710e-01 4.474569e-09 6.895100e-01 9.725680e-01
5.079552e-01 4.244171e-09 6.568180e-01 9.726156e-01
5.080354e-01 4.086703e-09 7.580550e-01 9.724603e-01
5.071012e-01 3.885748e-09 8.077440e-01 9.725975e-01
5.070428e-01 3.701951e-09 8.206920e-01 9.723212e-01
5.060069e-01 3.571260e-09 7.221740e-01 9.727309e-01
5.052986e-01 3.402864e-09 7.873940e-01 9.723841e-01
5.047214e-01 3.293125e-09 7.273020e-01 9.722183e-01
5.042564e-01 3.123327e-09 7.308180e-01 9.722307e-01
5.036203e-01 2.980953e-09 6.834200e-01 9.723498e-01
5.031058e-01 2.839604e-09 6.650550e-01 9.724746e-01
5.023217e-01 2.761970e-09 6.790830e-01 9.726213e-01
5.019904e-01 2.589132e-09 6.685730e-01 9.725899e-01
5.019704e-01 2.500777e-09 6.935650e-01 9.727738e-01
5.013541e-01 2.397369e-09 6.868960e-01 9.726470e-01
5.010858e-01 2.283957e-09 7.165490e-01 9.725203e-01
5.004341e-01 2.199053e-09 6.954200e-01 9.724489e-01
5.001522e-01 2.084212e-09 6.635690e-01 9.727156e-01
4.997271e-01 1.993834e-09 6.491700e-01 9.724879e-01
4.993991e-01 1.920046e-09 6.834130e-01 9.723631e-01
4.992540e-01 1.820223e-09 6.441630e-01 9.724012e-01
4.990550e-01 1.761883e-09 6.830960e-01 9.725727e-01
4.989867e-01 1.679320e-09 6.827560e-01 9.724260e-01
4.987118e-01 1.624062e-09 6.759990e-01 9.724479e-01
4.982283e-01 1.540012e-09 6.817160e-01 9.728624e-01
4.981741e-01 1.471655e-09 6.753530e-01 9.727261e-01
4.976027e-01 1.397449e-09 6.827800e-01 9.722574e-01
4.973780e-01 1.347931e-09 6.537590e-01 9.722936e-01
4.973217e-01 1.291952e-09 6.717860e-01 9.725975e-01
4.971426e-01 1.233696e-09 6.755820e-01 9.724470e-01
4.965056e-01 1.179579e-09 6.664000e-01 9.726175e-01
4.965822e-01 1.117085e-09 6.837500e-01 9.727776e-01
4.962573e-01 1.087297e-09 7.127910e-01 9.728776e-01
