# dim  N   mc   dt  Impsamp 
# 1    1 1049576 0.1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.429403e-01 1.652895e-08 8.824480e-01 9.731539e-01
5.413882e-01 1.592816e-08 8.759800e-01 9.731701e-01
5.373801e-01 1.511884e-08 8.827790e-01 9.730062e-01
5.353970e-01 1.429178e-08 8.635160e-01 9.732359e-01
5.333747e-01 1.362993e-08 8.448860e-01 9.733216e-01
5.313768e-01 1.297541e-08 8.439190e-01 9.731196e-01
5.286915e-01 1.241615e-08 8.810500e-01 9.733616e-01
5.275373e-01 1.175140e-08 8.535430e-01 9.728328e-01
5.251032e-01 1.108813e-08 8.479190e-01 9.731920e-01
5.236471e-01 1.061025e-08 8.795560e-01 9.727023e-01
5.217992e-01 1.010824e-08 8.412640e-01 9.729615e-01
5.200888e-01 9.638959e-09 8.580220e-01 9.732206e-01
5.176334e-01 9.105964e-09 8.458440e-01 9.732578e-01
5.166200e-01 8.689480e-09 8.378890e-01 9.730129e-01
5.150970e-01 8.311622e-09 8.345590e-01 9.729672e-01
5.141462e-01 7.859885e-09 8.582820e-01 9.730405e-01
5.131474e-01 7.551348e-09 8.599450e-01 9.730710e-01
5.118307e-01 7.154286e-09 8.572470e-01 9.732130e-01
5.102068e-01 6.812781e-09 8.844470e-01 9.729643e-01
5.082367e-01 6.422187e-09 8.566140e-01 9.730567e-01
5.078907e-01 6.174944e-09 8.305710e-01 9.730539e-01
5.066945e-01 5.859870e-09 8.427610e-01 9.728471e-01
5.063914e-01 5.552024e-09 8.621980e-01 9.730062e-01
5.058088e-01 5.358893e-09 8.866350e-01 9.732397e-01
5.049018e-01 5.084831e-09 8.535600e-01 9.728995e-01
5.038894e-01 4.831099e-09 8.461000e-01 9.731682e-01
5.034281e-01 4.635303e-09 8.578440e-01 9.731253e-01
5.020999e-01 4.361737e-09 8.410510e-01 9.730872e-01
5.015396e-01 4.164871e-09 8.431470e-01 9.731901e-01
5.009485e-01 3.981458e-09 8.709480e-01 9.729329e-01
5.003636e-01 3.807407e-09 8.844950e-01 9.734226e-01
4.996418e-01 3.644638e-09 8.472670e-01 9.731615e-01
4.991392e-01 3.417929e-09 8.609650e-01 9.728986e-01
4.983546e-01 3.262711e-09 8.668280e-01 9.732063e-01
4.978344e-01 3.142577e-09 8.436170e-01 9.731234e-01
4.974407e-01 2.979152e-09 8.588080e-01 9.729367e-01
4.970043e-01 2.832248e-09 8.349660e-01 9.731634e-01
4.964880e-01 2.685546e-09 9.158570e-01 9.730939e-01
4.960348e-01 2.566854e-09 8.852760e-01 9.729281e-01
4.957773e-01 2.479815e-09 8.565870e-01 9.728586e-01
4.953594e-01 2.368093e-09 8.572310e-01 9.731196e-01
4.952625e-01 2.241550e-09 8.515250e-01 9.730510e-01
4.945326e-01 2.132675e-09 8.325740e-01 9.733235e-01
4.944797e-01 2.047707e-09 8.938200e-01 9.729653e-01
4.938198e-01 1.928038e-09 8.914040e-01 9.730377e-01
4.940670e-01 1.852864e-09 8.615180e-01 9.728557e-01
4.937194e-01 1.745373e-09 8.529800e-01 9.727280e-01
4.928978e-01 1.657482e-09 8.540470e-01 9.730920e-01
4.928039e-01 1.592489e-09 8.715210e-01 9.727623e-01
4.927855e-01 1.527805e-09 8.534800e-01 9.727938e-01
4.925623e-01 1.462932e-09 8.686560e-01 9.729119e-01
4.923892e-01 1.390967e-09 8.620190e-01 9.729148e-01
4.920308e-01 1.328956e-09 8.594570e-01 9.729958e-01
4.916398e-01 1.274571e-09 8.455360e-01 9.731006e-01
4.915627e-01 1.206374e-09 8.647880e-01 9.730586e-01
4.912902e-01 1.156272e-09 9.381310e-01 9.729081e-01
4.912432e-01 1.108243e-09 8.783780e-01 9.731825e-01
4.910770e-01 1.046637e-09 8.794510e-01 9.730253e-01
4.905390e-01 9.867956e-10 8.463090e-01 9.729881e-01
4.905411e-01 9.618630e-10 8.437100e-01 9.733006e-01
4.903488e-01 9.082267e-10 8.598130e-01 9.729186e-01
4.903808e-01 8.827522e-10 8.474660e-01 9.726204e-01
4.901503e-01 8.353046e-10 8.647540e-01 9.732835e-01
4.900582e-01 7.993312e-10 8.619310e-01 9.731272e-01
4.897805e-01 7.569402e-10 8.352450e-01 9.730139e-01
4.897804e-01 7.265338e-10 8.680980e-01 9.729529e-01
4.896600e-01 6.931211e-10 8.725380e-01 9.728900e-01
4.894916e-01 6.658455e-10 8.410320e-01 9.731082e-01
4.896499e-01 6.342029e-10 8.986910e-01 9.730062e-01
4.895185e-01 6.170217e-10 8.737420e-01 9.730844e-01
4.892677e-01 5.774521e-10 8.517200e-01 9.727271e-01
4.892097e-01 5.566402e-10 8.460420e-01 9.730053e-01
4.890427e-01 5.304622e-10 8.593350e-01 9.729110e-01
4.889398e-01 5.125968e-10 8.694020e-01 9.731387e-01
4.888831e-01 4.857654e-10 8.424480e-01 9.730663e-01
4.888062e-01 4.653541e-10 8.556180e-01 9.731244e-01
4.888514e-01 4.457998e-10 8.352570e-01 9.730958e-01
4.887154e-01 4.302035e-10 8.328590e-01 9.730339e-01
4.885534e-01 4.063988e-10 8.620030e-01 9.732340e-01
4.886886e-01 3.939535e-10 8.704850e-01 9.729586e-01
4.885062e-01 3.746655e-10 9.148440e-01 9.729767e-01
4.886356e-01 3.654323e-10 8.629130e-01 9.732873e-01
4.882933e-01 3.413225e-10 8.470400e-01 9.729300e-01
4.883823e-01 3.327036e-10 8.492320e-01 9.731272e-01
4.881954e-01 3.159824e-10 8.580560e-01 9.729834e-01
4.882592e-01 3.047949e-10 8.501600e-01 9.728862e-01
4.882966e-01 2.946481e-10 8.276700e-01 9.731530e-01
4.881586e-01 2.801803e-10 8.571590e-01 9.729510e-01
4.881145e-01 2.714290e-10 8.499150e-01 9.730062e-01
4.881641e-01 2.623831e-10 8.554690e-01 9.727471e-01
4.880230e-01 2.486532e-10 8.702770e-01 9.730301e-01
4.880993e-01 2.441960e-10 8.857590e-01 9.729920e-01
4.879782e-01 2.317340e-10 8.859940e-01 9.731253e-01
4.878713e-01 2.220786e-10 8.938910e-01 9.731158e-01
