# dim  N   mc   dt  Impsamp 
# 1    1 1049576 0.1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
4.979013e-01 5.840332e-10 6.591960e-01 9.723936e-01
4.978529e-01 5.005407e-10 6.769210e-01 9.721592e-01
4.978269e-01 4.242347e-10 6.697000e-01 9.721373e-01
4.978138e-01 3.595643e-10 6.496110e-01 9.724270e-01
4.976689e-01 3.098802e-10 6.546970e-01 9.723707e-01
4.977059e-01 2.646167e-10 6.521910e-01 9.723679e-01
4.976496e-01 2.273633e-10 7.052070e-01 9.720535e-01
4.977787e-01 1.934080e-10 7.072460e-01 9.722907e-01
4.977736e-01 1.661233e-10 7.376510e-01 9.722631e-01
4.977819e-01 1.424390e-10 7.272740e-01 9.720592e-01
4.977658e-01 1.208300e-10 7.303520e-01 9.723889e-01
4.978854e-01 1.049152e-10 6.911720e-01 9.721173e-01
4.978177e-01 9.000522e-11 6.593920e-01 9.719344e-01
4.978576e-01 7.696585e-11 6.481590e-01 9.719935e-01
4.978847e-01 6.626324e-11 6.464930e-01 9.722621e-01
4.979082e-01 5.640728e-11 6.514850e-01 9.721087e-01
4.979726e-01 4.819651e-11 6.429000e-01 9.722202e-01
4.979960e-01 4.214332e-11 6.388430e-01 9.722412e-01
4.979825e-01 3.577799e-11 6.689810e-01 9.719820e-01
4.980168e-01 3.078496e-11 6.480250e-01 9.720392e-01
4.980019e-01 2.625934e-11 6.417730e-01 9.722964e-01
4.980392e-01 2.296717e-11 6.458340e-01 9.720611e-01
4.980546e-01 1.961218e-11 6.497340e-01 9.720363e-01
4.980635e-01 1.685640e-11 6.411610e-01 9.719954e-01
4.981105e-01 1.491094e-11 6.422060e-01 9.721507e-01
4.980949e-01 1.270521e-11 7.173730e-01 9.721097e-01
4.981424e-01 1.117193e-11 6.885170e-01 9.721707e-01
4.981519e-01 9.682024e-12 6.700950e-01 9.721831e-01
4.981446e-01 8.364424e-12 7.141950e-01 9.721183e-01
4.981837e-01 7.311362e-12 7.785570e-01 9.720878e-01
4.981935e-01 6.460066e-12 6.590350e-01 9.721421e-01
4.982056e-01 5.654792e-12 6.547650e-01 9.722174e-01
4.982224e-01 4.989985e-12 6.412660e-01 9.719372e-01
4.982241e-01 4.366864e-12 6.715240e-01 9.720039e-01
4.982188e-01 3.848440e-12 6.622400e-01 9.723060e-01
4.982178e-01 3.345839e-12 6.743470e-01 9.722193e-01
4.982556e-01 3.117407e-12 6.507790e-01 9.721507e-01
4.982469e-01 2.732530e-12 6.394380e-01 9.721554e-01
4.982515e-01 2.450746e-12 6.576090e-01 9.719068e-01
4.982524e-01 2.203234e-12 6.407350e-01 9.718000e-01
4.982784e-01 2.050422e-12 7.001120e-01 9.720401e-01
4.982811e-01 1.849000e-12 6.457280e-01 9.721459e-01
4.982797e-01 1.713581e-12 6.678220e-01 9.723869e-01
4.982843e-01 1.571831e-12 6.478000e-01 9.719153e-01
4.982937e-01 1.476841e-12 6.448450e-01 9.720039e-01
4.983020e-01 1.401434e-12 7.210580e-01 9.722488e-01
4.983011e-01 1.296474e-12 7.144540e-01 9.722050e-01
4.983005e-01 1.217741e-12 7.325960e-01 9.717953e-01
4.983036e-01 1.166036e-12 6.925180e-01 9.719382e-01
4.983147e-01 1.133726e-12 6.457810e-01 9.723631e-01
4.983176e-01 1.071975e-12 6.495750e-01 9.718248e-01
4.983190e-01 1.045102e-12 6.674170e-01 9.723050e-01
4.983174e-01 9.917871e-13 6.648340e-01 9.720840e-01
4.983193e-01 9.637683e-13 7.012280e-01 9.721135e-01
4.983283e-01 9.661495e-13 7.384460e-01 9.721773e-01
4.983309e-01 9.454737e-13 6.906960e-01 9.720230e-01
4.983326e-01 9.207957e-13 7.268890e-01 9.717133e-01
4.983315e-01 9.038327e-13 6.905170e-01 9.719668e-01
4.983337e-01 8.869531e-13 6.953200e-01 9.719353e-01
4.983390e-01 8.956997e-13 6.631060e-01 9.719553e-01
4.983390e-01 8.667217e-13 6.675640e-01 9.722269e-01
4.983442e-01 8.729194e-13 6.641670e-01 9.720535e-01
4.983424e-01 8.591741e-13 7.797180e-01 9.723203e-01
4.983444e-01 8.498670e-13 7.163460e-01 9.719487e-01
4.983429e-01 8.299725e-13 6.886180e-01 9.720144e-01
4.983488e-01 8.463573e-13 6.494270e-01 9.719849e-01
4.983397e-01 8.129460e-13 7.009460e-01 9.721783e-01
4.983434e-01 8.223102e-13 6.761990e-01 9.721230e-01
4.983469e-01 8.210793e-13 7.018020e-01 9.717324e-01
4.983447e-01 8.141106e-13 7.064340e-01 9.718801e-01
4.983447e-01 8.119676e-13 6.934370e-01 9.719029e-01
4.983501e-01 8.278384e-13 7.190420e-01 9.721030e-01
4.983504e-01 8.258707e-13 7.369670e-01 9.723479e-01
4.983525e-01 8.253541e-13 7.542910e-01 9.720497e-01
4.983463e-01 8.006421e-13 8.020920e-01 9.719420e-01
4.983527e-01 8.208032e-13 7.252150e-01 9.719792e-01
4.983510e-01 8.057279e-13 6.672980e-01 9.720297e-01
4.983521e-01 7.997378e-13 6.529850e-01 9.720163e-01
4.983468e-01 7.833259e-13 6.596480e-01 9.723717e-01
4.983489e-01 7.970164e-13 6.837840e-01 9.720392e-01
4.983537e-01 8.043122e-13 6.431110e-01 9.721478e-01
4.983533e-01 7.970445e-13 6.758780e-01 9.723088e-01
4.983505e-01 7.978576e-13 7.236170e-01 9.723555e-01
4.983501e-01 7.913899e-13 6.515880e-01 9.718934e-01
4.983489e-01 7.959606e-13 6.467620e-01 9.719001e-01
4.983549e-01 8.048324e-13 6.814450e-01 9.724870e-01
4.983550e-01 8.104553e-13 6.603560e-01 9.722116e-01
4.983561e-01 7.940987e-13 7.001710e-01 9.720668e-01
4.983502e-01 7.991291e-13 6.708260e-01 9.721326e-01
4.983477e-01 7.830474e-13 6.612510e-01 9.719782e-01
4.983538e-01 7.953336e-13 6.715400e-01 9.717810e-01
4.983537e-01 8.030495e-13 7.043160e-01 9.720468e-01
4.983558e-01 8.063898e-13 7.035170e-01 9.723412e-01
4.983522e-01 7.922791e-13 6.877260e-01 9.720258e-01
4.983564e-01 7.973135e-13 6.400030e-01 9.719087e-01
4.983614e-01 8.170118e-13 7.006560e-01 9.721792e-01
4.983574e-01 8.069317e-13 7.257830e-01 9.719792e-01
4.983579e-01 8.030601e-13 7.533130e-01 9.718401e-01
4.983577e-01 8.065807e-13 7.031290e-01 9.720354e-01
4.983595e-01 8.131820e-13 7.360520e-01 9.722288e-01
4.983583e-01 8.009734e-13 7.235930e-01 9.725118e-01
4.983563e-01 7.977434e-13 6.914780e-01 9.722564e-01
4.983578e-01 8.080966e-13 6.591170e-01 9.723469e-01
4.983656e-01 8.245595e-13 7.246580e-01 9.719973e-01
