# dim  N   mc   dt  Impsamp 
# 1    1 1049576 1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.736854e-01 1.407001e-07 6.889630e-01 7.640390e-01
4.827317e-01 5.370006e-08 7.348330e-01 7.503916e-01
4.646105e-01 3.389513e-08 7.272650e-01 7.417490e-01
4.600534e-01 2.612309e-08 6.852410e-01 7.352474e-01
4.597980e-01 2.266283e-08 6.313840e-01 7.296404e-01
4.600664e-01 2.027598e-08 6.251390e-01 7.244973e-01
4.616734e-01 1.870204e-08 6.461740e-01 7.191637e-01
4.632711e-01 1.767550e-08 6.307650e-01 7.142522e-01
4.648985e-01 1.659972e-08 6.264130e-01 7.100658e-01
4.661119e-01 1.548140e-08 6.417780e-01 7.057088e-01
4.675911e-01 1.478070e-08 6.624880e-01 7.010764e-01
4.691014e-01 1.397575e-08 6.811580e-01 6.970967e-01
4.698277e-01 1.310242e-08 6.583700e-01 6.942442e-01
4.708026e-01 1.231688e-08 6.567400e-01 6.901034e-01
4.716973e-01 1.173245e-08 6.816380e-01 6.881007e-01
4.731645e-01 1.125497e-08 6.334870e-01 6.830082e-01
4.739734e-01 1.057894e-08 6.457320e-01 6.812256e-01
4.752537e-01 1.011198e-08 6.417550e-01 6.763950e-01
4.762601e-01 9.824754e-09 6.347870e-01 6.738978e-01
4.769348e-01 9.357118e-09 6.262190e-01 6.710167e-01
4.775545e-01 8.812278e-09 6.488010e-01 6.692312e-01
4.781617e-01 8.410904e-09 6.943190e-01 6.680307e-01
4.787197e-01 7.896487e-09 6.611610e-01 6.644769e-01
4.792606e-01 7.639114e-09 6.338090e-01 6.618539e-01
4.801546e-01 7.366948e-09 6.493200e-01 6.599389e-01
4.809470e-01 7.109926e-09 6.466100e-01 6.559935e-01
4.812731e-01 6.822797e-09 6.265110e-01 6.554056e-01
4.819439e-01 6.577853e-09 7.311350e-01 6.523615e-01
4.822505e-01 6.214860e-09 7.103920e-01 6.510877e-01
4.831873e-01 6.169678e-09 7.069230e-01 6.486191e-01
4.832084e-01 5.848182e-09 7.109750e-01 6.475605e-01
4.837832e-01 5.555185e-09 7.296060e-01 6.460942e-01
4.841821e-01 5.376478e-09 7.278400e-01 6.441973e-01
4.843408e-01 5.133702e-09 7.374730e-01 6.427939e-01
4.849227e-01 5.009276e-09 6.885850e-01 6.408083e-01
4.856964e-01 4.963199e-09 6.901390e-01 6.394601e-01
4.853585e-01 4.561457e-09 6.925200e-01 6.394173e-01
4.859635e-01 4.532923e-09 6.841750e-01 6.361178e-01
4.866537e-01 4.460719e-09 7.445080e-01 6.336806e-01
4.864243e-01 4.187933e-09 7.752960e-01 6.348773e-01
4.872426e-01 4.198087e-09 6.808240e-01 6.311006e-01
4.872929e-01 3.968156e-09 6.458380e-01 6.306489e-01
4.873041e-01 3.771757e-09 6.444460e-01 6.312644e-01
4.879739e-01 3.809710e-09 6.672130e-01 6.296895e-01
4.880912e-01 3.660223e-09 6.632700e-01 6.287558e-01
4.882493e-01 3.441178e-09 6.971330e-01 6.266769e-01
4.883804e-01 3.339871e-09 7.259690e-01 6.272743e-01
4.887106e-01 3.265075e-09 7.093350e-01 6.245665e-01
4.891684e-01 3.238543e-09 6.615350e-01 6.235489e-01
4.890080e-01 3.073951e-09 6.453420e-01 6.224418e-01
4.893562e-01 2.984501e-09 6.644250e-01 6.208221e-01
4.897461e-01 2.996359e-09 6.782670e-01 6.208983e-01
4.897971e-01 2.844293e-09 6.651900e-01 6.195302e-01
4.900166e-01 2.773348e-09 6.694130e-01 6.189214e-01
4.903291e-01 2.756623e-09 6.975790e-01 6.176856e-01
4.903828e-01 2.610388e-09 6.873650e-01 6.164003e-01
4.904467e-01 2.525423e-09 7.263170e-01 6.170558e-01
4.910004e-01 2.547539e-09 7.037810e-01 6.145948e-01
4.911756e-01 2.490039e-09 6.832450e-01 6.135449e-01
4.910385e-01 2.360218e-09 7.377460e-01 6.141690e-01
4.910150e-01 2.264396e-09 7.845440e-01 6.147740e-01
4.914826e-01 2.273339e-09 8.052280e-01 6.104999e-01
4.918748e-01 2.242647e-09 7.769150e-01 6.112811e-01
4.914153e-01 2.088271e-09 7.644570e-01 6.123701e-01
4.920066e-01 2.119616e-09 7.939920e-01 6.090307e-01
4.917781e-01 2.008241e-09 8.045350e-01 6.107876e-01
4.918593e-01 1.968564e-09 7.537420e-01 6.089145e-01
4.922878e-01 1.948091e-09 7.371130e-01 6.076578e-01
4.923957e-01 1.925606e-09 8.102850e-01 6.075006e-01
4.926627e-01 1.891215e-09 7.545550e-01 6.072090e-01
4.924339e-01 1.799976e-09 7.603560e-01 6.072614e-01
4.926578e-01 1.798413e-09 7.628010e-01 6.067879e-01
4.928727e-01 1.770640e-09 7.269600e-01 6.054197e-01
4.926466e-01 1.652480e-09 6.964660e-01 6.046146e-01
4.929702e-01 1.663971e-09 6.724680e-01 6.039839e-01
4.930675e-01 1.623567e-09 6.804290e-01 6.040201e-01
4.930959e-01 1.577912e-09 7.010460e-01 6.036962e-01
4.934868e-01 1.591059e-09 6.642090e-01 6.018745e-01
4.932538e-01 1.504194e-09 6.963710e-01 6.020183e-01
4.933680e-01 1.465742e-09 6.971040e-01 6.022699e-01
4.936900e-01 1.496046e-09 7.081150e-01 6.002995e-01
4.935050e-01 1.409316e-09 6.781180e-01 6.018306e-01
4.935979e-01 1.393400e-09 6.876010e-01 6.005806e-01
4.939379e-01 1.404789e-09 6.571360e-01 5.979824e-01
4.939179e-01 1.361346e-09 7.122150e-01 5.988828e-01
4.940322e-01 1.350443e-09 7.434420e-01 5.994430e-01
4.942302e-01 1.321006e-09 7.639070e-01 5.974212e-01
4.940134e-01 1.267874e-09 7.332780e-01 5.987742e-01
4.944279e-01 1.276329e-09 6.990580e-01 5.966457e-01
4.942112e-01 1.209460e-09 6.781250e-01 5.965504e-01
4.941398e-01 1.184113e-09 6.667050e-01 5.974308e-01
4.946497e-01 1.220928e-09 7.911730e-01 5.947745e-01
4.944519e-01 1.158797e-09 7.413110e-01 5.960092e-01
4.946701e-01 1.150326e-09 8.517080e-01 5.937178e-01
4.945434e-01 1.098305e-09 7.519400e-01 5.953728e-01
4.946372e-01 1.089095e-09 7.866470e-01 5.946544e-01
4.948097e-01 1.084586e-09 6.841020e-01 5.938045e-01
4.949758e-01 1.086119e-09 7.739130e-01 5.931948e-01
4.947482e-01 1.025425e-09 7.624770e-01 5.942943e-01
4.950561e-01 1.042768e-09 8.008270e-01 5.923525e-01
4.949923e-01 1.014619e-09 6.765190e-01 5.930757e-01
4.951217e-01 9.999378e-10 7.000060e-01 5.927737e-01
4.951577e-01 9.795334e-10 7.050280e-01 5.917294e-01
4.950848e-01 9.494643e-10 6.675650e-01 5.927165e-01
4.952334e-01 9.459354e-10 6.852500e-01 5.927451e-01
4.951408e-01 9.191481e-10 7.013380e-01 5.917761e-01
4.952714e-01 8.972689e-10 8.273600e-01 5.915084e-01
4.953081e-01 8.947334e-10 8.835800e-01 5.910453e-01
4.955202e-01 9.000253e-10 8.861740e-01 5.895476e-01
4.953193e-01 8.440408e-10 9.004820e-01 5.906499e-01
4.954392e-01 8.462131e-10 9.077190e-01 5.903117e-01
4.956506e-01 8.733212e-10 8.443000e-01 5.895609e-01
4.954747e-01 8.103541e-10 7.143600e-01 5.891246e-01
4.956476e-01 8.209414e-10 6.641820e-01 5.895190e-01
4.957675e-01 8.149023e-10 6.625310e-01 5.883366e-01
4.957220e-01 8.012811e-10 7.648540e-01 5.882023e-01
4.956568e-01 7.601309e-10 7.529030e-01 5.886377e-01
4.957274e-01 7.547828e-10 7.336730e-01 5.877173e-01
4.958995e-01 7.609395e-10 6.781760e-01 5.867703e-01
4.958175e-01 7.310752e-10 6.923640e-01 5.885767e-01
4.959878e-01 7.531295e-10 6.613520e-01 5.868818e-01
4.960508e-01 7.347554e-10 6.643670e-01 5.862081e-01
4.959331e-01 7.093026e-10 6.932070e-01 5.877326e-01
4.960375e-01 7.033120e-10 6.699120e-01 5.860509e-01
4.961246e-01 6.954043e-10 6.891020e-01 5.859414e-01
4.959121e-01 6.604824e-10 6.736380e-01 5.884672e-01
4.961127e-01 6.619128e-10 6.650410e-01 5.863549e-01
4.963814e-01 6.806802e-10 6.723250e-01 5.838081e-01
4.962403e-01 6.476199e-10 6.663150e-01 5.847371e-01
4.962296e-01 6.461665e-10 6.544960e-01 5.860748e-01
4.963007e-01 6.306948e-10 7.325000e-01 5.842521e-01
4.961635e-01 6.046642e-10 8.431400e-01 5.851201e-01
4.962849e-01 6.107649e-10 9.161250e-01 5.838053e-01
4.963238e-01 6.028801e-10 8.933940e-01 5.842321e-01
4.965792e-01 6.242274e-10 9.175580e-01 5.825571e-01
4.965286e-01 6.076768e-10 7.531120e-01 5.834604e-01
4.965419e-01 5.883792e-10 7.657090e-01 5.821065e-01
4.965586e-01 5.814162e-10 6.739910e-01 5.823856e-01
4.967023e-01 5.918591e-10 7.371270e-01 5.825800e-01
4.965448e-01 5.519763e-10 6.987840e-01 5.830431e-01
4.964832e-01 5.477374e-10 6.981510e-01 5.834470e-01
4.966048e-01 5.438949e-10 6.703950e-01 5.828830e-01
4.965784e-01 5.281345e-10 6.767290e-01 5.827868e-01
4.966797e-01 5.311469e-10 6.979940e-01 5.825857e-01
4.967163e-01 5.319504e-10 7.285520e-01 5.818035e-01
4.965089e-01 5.008621e-10 7.003000e-01 5.839863e-01
4.967511e-01 5.098290e-10 7.129740e-01 5.809184e-01
4.967545e-01 5.035333e-10 7.678300e-01 5.822980e-01
4.967560e-01 4.909599e-10 7.352080e-01 5.808526e-01
4.968001e-01 4.926770e-10 7.756470e-01 5.815015e-01
4.968377e-01 4.840788e-10 7.246820e-01 5.804534e-01
4.968380e-01 4.841680e-10 7.718830e-01 5.808126e-01
4.969495e-01 4.852948e-10 7.397910e-01 5.803839e-01
4.968226e-01 4.541429e-10 7.264710e-01 5.803477e-01
4.969897e-01 4.895947e-10 7.006750e-01 5.811518e-01
4.969463e-01 4.587234e-10 7.286660e-01 5.801276e-01
4.969159e-01 4.400615e-10 6.709910e-01 5.796255e-01
4.969255e-01 4.389433e-10 6.748420e-01 5.791758e-01
4.971044e-01 4.511271e-10 7.130790e-01 5.788185e-01
4.970973e-01 4.408653e-10 6.668360e-01 5.791234e-01
4.970178e-01 4.263029e-10 7.694570e-01 5.804830e-01
4.970981e-01 4.200369e-10 8.097130e-01 5.771016e-01
4.971165e-01 4.212719e-10 7.944010e-01 5.797360e-01
4.973126e-01 4.323998e-10 7.100560e-01 5.773665e-01
4.971008e-01 4.068359e-10 7.346530e-01 5.799685e-01
4.972052e-01 4.125972e-10 8.168410e-01 5.779048e-01
4.972752e-01 4.075807e-10 8.286320e-01 5.777352e-01
4.972153e-01 3.999527e-10 8.716890e-01 5.796722e-01
4.973082e-01 4.047637e-10 8.587120e-01 5.774951e-01
4.972984e-01 3.940287e-10 8.339050e-01 5.769768e-01
4.973105e-01 3.993058e-10 8.750760e-01 5.781573e-01
4.972596e-01 3.806594e-10 8.172800e-01 5.786422e-01
4.972585e-01 3.741804e-10 9.188560e-01 5.780391e-01
4.973114e-01 3.714242e-10 8.728400e-01 5.767357e-01
4.974504e-01 3.793928e-10 8.655160e-01 5.764785e-01
4.974266e-01 3.704198e-10 7.559140e-01 5.763766e-01
4.974378e-01 3.712064e-10 8.237090e-01 5.766147e-01
