# dim  N   mc   dt  Impsamp 
# 1    1 1049576 0.1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
6.994371e-01 6.999813e-08 7.375210e-01 9.750347e-01
6.942674e-01 6.717311e-08 7.237120e-01 9.749280e-01
6.886482e-01 6.484227e-08 7.189500e-01 9.748689e-01
6.824585e-01 6.276859e-08 7.331210e-01 9.745726e-01
6.781013e-01 6.132792e-08 7.360210e-01 9.748775e-01
6.714346e-01 5.850544e-08 7.258570e-01 9.745345e-01
6.696830e-01 5.700106e-08 7.273560e-01 9.743744e-01
6.633236e-01 5.531917e-08 7.773130e-01 9.739371e-01
6.605660e-01 5.377478e-08 7.570270e-01 9.739295e-01
6.564336e-01 5.280914e-08 7.867940e-01 9.740124e-01
6.547700e-01 5.127410e-08 8.657390e-01 9.739895e-01
6.514132e-01 5.010885e-08 8.079510e-01 9.739723e-01
6.461615e-01 4.823284e-08 8.342100e-01 9.737875e-01
6.421788e-01 4.718045e-08 8.003040e-01 9.736837e-01
6.410911e-01 4.615284e-08 7.978330e-01 9.739552e-01
6.396296e-01 4.540650e-08 8.171420e-01 9.735588e-01
6.364147e-01 4.397824e-08 7.861000e-01 9.738142e-01
6.330623e-01 4.330956e-08 7.758550e-01 9.738513e-01
6.305786e-01 4.219184e-08 6.976980e-01 9.734636e-01
6.304523e-01 4.136391e-08 7.102960e-01 9.736989e-01
6.258370e-01 4.040221e-08 7.912850e-01 9.734788e-01
6.273651e-01 3.974072e-08 7.706450e-01 9.731825e-01
6.221432e-01 3.900388e-08 7.575160e-01 9.732883e-01
6.208139e-01 3.822652e-08 7.748820e-01 9.733035e-01
6.189193e-01 3.748598e-08 7.751960e-01 9.731577e-01
6.169403e-01 3.641951e-08 7.355370e-01 9.731291e-01
6.143652e-01 3.582321e-08 7.397500e-01 9.734007e-01
6.123766e-01 3.538166e-08 7.758180e-01 9.731711e-01
6.119561e-01 3.448783e-08 7.820420e-01 9.730358e-01
6.107702e-01 3.418801e-08 7.372810e-01 9.730139e-01
6.072214e-01 3.335241e-08 7.877450e-01 9.731987e-01
6.052793e-01 3.276975e-08 7.235070e-01 9.730748e-01
6.057222e-01 3.205343e-08 7.507730e-01 9.730196e-01
6.028662e-01 3.167912e-08 7.358300e-01 9.728586e-01
6.006893e-01 3.121641e-08 7.589910e-01 9.727519e-01
5.992864e-01 3.050535e-08 7.816720e-01 9.728509e-01
5.988029e-01 3.024210e-08 7.516040e-01 9.725956e-01
5.974846e-01 2.957153e-08 7.683060e-01 9.727347e-01
